1,obj_tmtyl,CP_OBJ_TMTYL_DIALOGUE/OBJ_DESCRIPTION,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,
2,obj_helidown,CP_BR_SYRK_OBJECTIVES/OBJ_RESCUE_PILOT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,
3,obj_caches,CP_SMUGGLER/OBJ_PHASE1,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,
4,obj_caches_adv,CP_SMUGGLER/OBJ_ADVANCE,,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,
5,obj_caches_leads,CP_SMUGGLER/WAITING_TO_DECRYPT,,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,
6,obj_caches_def,CP_SMUGGLER/DECRYPTING_LOCATION,,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,
7,obj_caches_end,CP_SMUGGLER/OBJ_EXTRACT,,,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,
8,find_data_center,CP_BAD_SITUATION_OBJ/FIND_DATA_CENTER,,1,primary,icon_waypoint_objective_general,find_data_center,script_noteworthy,,,,,,,,,1000,,,,,
9,survive,CP_BAD_SITUATION_OBJ/SURVIVE,,1,primary,icon_waypoint_objective_general,goto_exfil,script_noteworthy,,180,90,60,,,,,1000,,1,,,
10,goto_exfil,CP_BAD_SITUATION_OBJ/GOTO_EXFIL,,1,primary,icon_waypoint_objective_general,goto_exfil,script_noteworthy,,,,,,,,,1000,,,,,
11,clear_hq,CP_BAD_SITUATION_OBJ/CLEAR_HQ,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,CP_BAD_SITUATION_OBJ/KILL_REINFORCEMENTS,CP_BAD_SITUATION_OBJ/STANDBY,
12,reach_airdrop,CP_BAD_SITUATION_OBJ/COLLECT_SUIT,,1,primary,icon_waypoint_objective_general,reach_airdrop,script_noteworthy,,,,,,,,,1000,,,CP_BAD_SITUATION_OBJ/COLLECT_SUIT,,
13,obj_helidown_escort_mnu,CP_BR_SYRK_OBJECTIVES/USE_VIP,,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,,,
