MouseCategory,LUA_MENU/MOUSE,
KBMSubCategoryMouse,,
MenuCursorSensitivityMultiplier,,
MouseSensitivityExpander,,
ADSExpander,,
InvertPitchKBM,,
MouseAcceleration,,
Filter,,
MouseSmoothingOption,,
MovementCategory,LUA_MENU/MOVEMENT,
KBMSubCategoryBehavior,,
SlideEnabledKeyboard,,
Crouch,,
Prone,,
AutomaticAirborneMantle,,
ToggleHoldSprint,,
AutoSprintKBM,,
ParachuteAutoDeployKBM,,
UseHoldKBMProfileOption,,
KBMSubCategoryKeybinds,,
KeybindForwardExpander,,
BackwardAction,,
MoveLeftAction,,
MoveRightAction,,
ActivateAction,,
GoStandAction,,
ToggleCrouchAction,,
ToggleProneAction,,
KeybindStanceExpander,,
KeybindBreathExpander,,
GestureAction,,
KeybindViewExpander,,
WeaponCategory,LUA_MENU/WEAPONS_EQUIPMENT,
KBMSubCategoryBehavior,,
AutomaticWeaponSwitchKeyboard,,
SwitchWeaponCancel,,
WeaponSwitchWrapAround,,
MountConfigKBM,,
WeaponMountingMovementExit,,
MountingExitDelay,,
ADSHoldKeyboard,,
ChangeZoomToggleHybridKBM,,
EquipmentBehaviorKBM,,
KBMSubCategoryKeybinds,,
AttackAction,,
KeybindADSExpander,,
ReloadAction,,
KeybindWeaponExpander,,
MountAction,,
ToggleWeaponAlt,,
MeleeZoomAction,,
FragAction,,
SmokeAction,,
ActionSlot2,,
SpecialAction,,
ActionSlot1,,
WeaponInspectAction,,
DecreaseZoomAction,,
KeybindChangeLoadoutExpander,,
VehicleKillstreakCategory,LUA_MENU/VEHICLEKILLSTREAK,
KBMSubCategoryBehaviorMPCPOnly,,
VehicleCameraAutoRecenterKeyboard,,
ArmorPlateApplyAllKBM,,
KBMSubCategoryKillstreaksKeybinds,,
KillStreak1Action,,
KillStreak2Action,,
KillStreak3Action,,
KillStreak4Action,,
KillstreakWheel,,
ArmorPlate,,
KBMSubCategoryVehicleKeybinds,,
CenterVehicleCamera,,
GroundVehicleForward,,
GroundVehicleBackward,,
GroundVehicleLeft,,
GroundVehicleRight,,
GroundVehicleLeanForward,,
GroundVehicleLeanBackward,,
GroundVehicleFire,,
GroundVehicleMissile,,
GroundVehicleHandbrake,,
GroundVehicleHornAction,,
GroundVehicleWarTrackToggle,,
FlyingVehicleForward,,
FlyingVehicleBackward,,
FlyingVehicleLeft,,
FlyingVehicleRight,,
FlyingVehicleAscend,,
FlyingVehicleDescend,,
FlyingVehicleFlares,,
FlyingVehicleHornAction,,
FlyingVehicleWarTrackToggle,,
InterfaceCategory,LUA_MENU/OVERLAYS_SHORTCUTS,
KBMSubCategoryBehavior,,
Scoreboard,,
ScoreboardMap,,
ToggleMapCursorEnable,,
QuickInventory,,
WindowsKeyMinimize,,
OverlaysKeybindsSubCategory,,
ShowScoreAction,,
ViewObjectivesAction,,
ShowMapAction,,
PingAction,,
TextChatKeybindsExpander,,
InventoryKeybindsExpander,,
ShortcutsSubCategory,,
VoiceChat,,
MuteVoiceChat,,
MuteSound,,
OptionsShortcut,,
SocialShortcut,,
PauseDismissAction,,
MenuNavigationCategory,LUA_MENU/MENU_NAVIGATION,
KBMSubCategoryKeybinds,,
NotificationAccAction,,
NotificationDecAction,,
ContextualAction8,,
UnbindKey,,
ConfirmAction,,
NavPrevTabAction,,
NavNextTabAction,,
KeyboardMenuNavigationExpander,,
ContextualMenuNavigationExpander,,
