???#ID,#ref,#quality,#cost,#salvage,#license,#Name,#Image,
380000,adsKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380001,hipfireKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380002,lowerRankedKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380003,higherRankedKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380004,highestRankedKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380005,reloads,0,0,0,0,MP_ACCOLADES_TODO,white,
380006,weaponPickups,0,0,0,0,MP_ACCOLADES_TODO,white,
380007,shotsFired,0,0,0,0,MP_ACCOLADES_TODO,white,
380008,classChanges,0,0,0,0,MP_ACCOLADES_TODO,white,
380009,headshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380010,timeWatchingKillcams,0,0,0,0,MP_ACCOLADES_TODO,white,
380011,skippedKillcams,0,0,0,0,MP_ACCOLADES_TODO,white,
380012,longestStreak,0,0,0,0,MP_ACCOLADES_TODO,white,
380013,mostKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380014,leastKills,0,0,0,0,MP_ACCOLADES_TODO,white,
380015,mostAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380016,leastAssists,0,0,0,0,MP_ACCOLADES_TODO,white,
380017,mostDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380018,leastDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380019,suicides,0,0,0,0,MP_ACCOLADES_TODO,white,
380020,noKillsWithDeath,0,0,0,0,MP_ACCOLADES_TODO,white,
380021,noKillNoDeath,0,0,0,0,MP_ACCOLADES_TODO,white,
380022,noKill10Deaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380023,mostKillsLeastDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380024,mostKillsMostHeadshots,0,0,0,0,MP_ACCOLADES_TODO,white,
380025,mostKillsLongestStreak,0,0,0,0,MP_ACCOLADES_TODO,white,
380026,kills10NoDeaths,0,0,0,0,MP_ACCOLADES_TODO,white,
380027,deathsFromBehind,0,0,0,0,MP_ACCOLADES_TODO,white,
380028,killsFromBehind,0,0,0,0,MP_ACCOLADES_TODO,white,
