1038000,acog,0,0,0,0,175,2,375,7,652,8,,,,,,,
1038001,acoglight,0,0,0,0,,,,,,,,,,,,,
1038002,acog2,0,0,0,0,,,,,,,,,,,,,
1038003,acog2light,0,0,0,0,,,,,,,,,,,,,
1038004,reflex,0,0,0,0,,,,,,,,,,,,,
1038005,reflexlight,0,0,0,0,,,,,,,,,,,,,
1038006,reflex2,0,0,0,0,,,,,,,,,,,,,
1038007,reflex2light,0,0,0,0,,,,,,,,,,,,,
1038008,reflex3,0,0,0,0,,,,,,,,,,,,,
1038009,reflex3light,0,0,0,0,,,,,,,,,,,,,
1038010,reflex4,0,0,0,0,,,,,,,,,,,,,
1038011,reflex4light,0,0,0,0,,,,,,,,,,,,,
1038012,reflexmini,0,0,0,0,,,,,,,,,,,,,
1038013,reflexmini2,0,0,0,0,,,,,,,,,,,,,
1038014,reflexmini3,0,0,0,0,,,,,,,,,,,,,
1038015,holo,0,0,0,0,653,2,,,,,,,,,,,
1038016,hololight,0,0,0,0,,,,,,,,,,,,,
1038017,holo2,0,0,0,0,174,3,,,,,,,,,,,
1038018,holo2light,0,0,0,0,,,,,,,,,,,,,
1038019,thermal,0,0,0,0,371,5,,,,,,,,,,,
1038020,thermal2,0,0,0,0,,,,,,,,,,,,,
1038021,thermalvz,0,0,0,0,,,,,,,,,,,,,
1038022,thermal2vz,0,0,0,0,,,,,,,,,,,,,
1038023,hybrid,0,0,0,0,,,,,,,,,,,,,
1038024,hybridlight,0,0,0,0,,,,,,,,,,,,,
1038025,hybrid2,0,0,0,0,,,,,,,,,,,,,
1038026,hybrid2light,0,0,0,0,,,,,,,,,,,,,
1038027,hybrid3,0,0,0,0,,,,,,,,,,,,,
1038028,hybrid3light,0,0,0,0,,,,,,,,,,,,,
1038029,hybrid4,0,0,0,0,654,7,,,,,,,,,,,
1038030,hybrid4light,0,0,0,0,,,,,,,,,,,,,
1038031,ironsight,0,0,0,0,,,,,,,,,,,,,
1038032,ironsdefault,0,0,0,0,,,,,,,,,,,,,
1038033,vzscope,0,0,0,0,,,,,,,,,,,,,
1038034,silencer,0,0,0,0,651,1,,,,,,,,,,,
1038035,silencer2,0,0,0,0,372,13,,,,,,,,,,,
1038036,silencer3,0,0,0,0,371,9,375,10,652,1,655,2,,,,,
1038037,gripvert,0,0,0,0,653,2,,,,,,,,,,,
1038038,gripang,0,0,0,0,371,6,651,8,,,,,,,,,
1038039,gripangpro,0,0,0,0,652,1,,,,,,,,,,,
1038040,gripcust,0,0,0,0,173,5,654,12,,,,,,,,,
1038041,gripdefault,0,0,0,0,,,,,,,,,,,,,
1038042,gripcust2,0,0,0,0,,,,,,,,,,,,,
1038043,bipod,0,0,0,0,175,2,,,,,,,,,,,
1038044,gl,0,0,0,0,,,,,,,,,,,,,
1038045,glsmoke,0,0,0,0,,,,,,,,,,,,,
1038046,glgas,0,0,0,0,,,,,,,,,,,,,
1038047,glconc,0,0,0,0,,,,,,,,,,,,,
1038048,akimbo,0,0,0,0,,,,,,,,,,,,,
1038049,fmj,0,0,0,0,,,,,,,,,,,,,
1038050,xmags,0,0,0,0,653,1,,,,,,,,,,,
1038051,drums,0,0,0,0,172,3,173,1,174,2,175,4,372,5,,,
1038052,vertmags,0,0,0,0,,,,,,,,,,,,,
1038053,laser,0,0,0,0,173,4,,,,,,,,,,,
1038054,laserir,0,0,0,0,,,,,,,,,,,,,
1038055,laserrange,0,0,0,0,,,,,,,,,,,,,
1038056,laserbalanced,0,0,0,0,372,3,653,1,,,,,,,,,
1038057,laserads,0,0,0,0,,,,,,,,,,,,,
1038058,stockl,0,0,0,0,,,,,,,,,,,,,
1038059,stockh,0,0,0,0,174,1,175,2,654,3,,,,,,,
1038060,stocks,0,0,0,0,,,,,,,,,,,,,
1038061,stockno,0,0,0,0,173,1,374,2,,,,,,,,,
1038062,stockfold,0,0,0,0,,,,,,,,,,,,,
1038063,stockcust,0,0,0,0,371,1,372,2,373,5,651,4,655,6,656,7,
1038064,bolt,0,0,0,0,,,,,,,,,,,,,
1038065,calsmg,0,0,0,0,,,,,,,,,,,,,
1038066,calsmgdrums,0,0,0,0,,,,,,,,,,,,,
1038067,calar,0,0,0,0,,,,,,,,,,,,,
1038068,calsnpr,0,0,0,0,,,,,,,,,,,,,
1038069,calcust,0,0,0,0,,,,,,,,,,,,,
1038070,calcust2,0,0,0,0,,,,,,,,,,,,,
1038071,barlong,0,0,0,0,175,1,373,3,654,2,,,,,,,
1038072,barmid,0,0,0,0,174,1,375,2,652,3,,,,,,,
1038073,barshort,0,0,0,0,374,2,,,,,,,,,,,
1038074,barshortnoguard,0,0,0,0,,,,,,,,,,,,,
1038075,barcust,0,0,0,0,,,,,,,,,,,,,
1038076,barcust2,0,0,0,0,,,,,,,,,,,,,
1038077,triggripcust,0,0,0,0,,,,,,,,,,,,,
1038078,triggrip,0,0,0,0,,,,,,,,,,,,,
1038079,trigcust,0,0,0,0,,,,,,,,,,,,,
1038080,trigcust02,0,0,0,0,,,,,,,,,,,,,
1038081,trigcust03,0,0,0,0,,,,,,,,,,,,,
1038082,trig,0,0,0,0,,,,,,,,,,,,,
1038083,melee,0,0,0,0,,,,,,,,,,,,,
1038084,brake,0,0,0,0,656,14,,,,,,,,,,,
1038085,comp,0,0,0,0,374,15,654,2,,,,,,,,,
1038086,choke,0,0,0,0,,,,,,,,,,,,,
1038087,linearbrake,0,0,0,0,,,,,,,,,,,,,
1038088,rack,0,0,0,0,,,,,,,,,,,,,
1038089,strap,0,0,0,0,,,,,,,,,,,,,
1038090,semi,0,0,0,0,,,,,,,,,,,,,
1038091,burst,0,0,0,0,,,,,,,,,,,,,
1038092,auto,0,0,0,0,,,,,,,,,,,,,
1038093,griprear,0,0,0,0,,,,,,,,,,,,,
1038094,done,0,0,0,0,,,,,,,,,,,,,
1038095,scope,0,0,0,0,373,13,,,,,,,,,,,
1038096,scopenvg,0,0,0,0,,,,,,,,,,,,,
1038097,scopenorail,0,0,0,0,,,,,,,,,,,,,
1038098,toprailcust,0,0,0,0,,,,,,,,,,,,,
1038099,recstocks,0,0,0,0,,,,,,,,,,,,,
1038100,recstockl,0,0,0,0,,,,,,,,,,,,,
1038101,recstockh,0,0,0,0,,,,,,,,,,,,,
1038102,adsmove,0,0,0,0,,,,,,,,,,,,,
1038103,adsidle,0,0,0,0,,,,,,,,,,,,,
1038104,bling,0,0,0,0,,,,,,,,,,,,,
1038105,crouchrecoil,0,0,0,0,,,,,,,,,,,,,
1038106,fastswap,0,0,0,0,,,,,,,,,,,,,
1038107,fastreload,0,0,0,0,,,,,,,,,,,,,
1038108,flinch,0,0,0,0,,,,,,,,,,,,,
1038109,hipaim,0,0,0,0,,,,,,,,,,,,,
1038110,maxammo,0,0,0,0,,,,,,,,,,,,,
1038111,gunperk_semi,0,0,0,0,,,,,,,,,,,,,
1038112,gunperk_auto,0,0,0,0,,,,,,,,,,,,,
1038113,gunperk_burst,0,0,0,0,,,,,,,,,,,,,
1038114,gunperk_ricochet,0,0,0,0,,,,,,,,,,,,,
1038115,gunperk_recoil,0,0,0,0,,,,,,,,,,,,,
1038116,gunperk_rof,0,0,0,0,,,,,,,,,,,,,
1038117,gunperk_adsup,0,0,0,0,,,,,,,,,,,,,
1038118,gunperk_xmags,0,0,0,0,,,,,,,,,,,,,
1038119,gunperk_fastmelee,0,0,0,0,,,,,,,,,,,,,
1038120,gunperk_range,0,0,0,0,,,,,,,,,,,,,
1038121,gunperk_stalker,0,0,0,0,,,,,,,,,,,,,
1038122,muzzlestable,0,0,0,0,,,,,,,,,,,,,
1038123,muzzlestable2,0,0,0,0,,,,,,,,,,,,,
1038124,flashhider,0,0,0,0,172,1,174,2,,,,,,,,,
1038125,gunperk_burst3fast,0,0,0,0,,,,,,,,,,,,,
1038126,gunperk_burst4,0,0,0,0,,,,,,,,,,,,,
1038127,gunperk_burst4fast,0,0,0,0,,,,,,,,,,,,,
1038128,gunperk_xp,0,0,0,0,,,,,,,,,,,,,
1038129,gunperk_dexterity,0,0,0,0,,,,,,,,,,,,,
1038130,gunperk_enemytag,0,0,0,0,,,,,,,,,,,,,
1038131,gunperk_callout,0,0,0,0,,,,,,,,,,,,,
1038132,gunperk_glintreduce,0,0,0,0,,,,,,,,,,,,,
1038133,gunperk_hardmelee,0,0,0,0,,,,,,,,,,,,,
1038134,gunperk_holdbreath,0,0,0,0,,,,,,,,,,,,,
1038135,gunperk_marksman,0,0,0,0,,,,,,,,,,,,,
1038136,gunperk_stancespeed,0,0,0,0,,,,,,,,,,,,,
1038137,gunperk_binarytrigger,0,0,0,0,,,,,,,,,,,,,
1038138,ammomod_impact,0,0,0,0,,,,,,,,,,,,,
1038139,ammomod_slow,0,0,0,0,,,,,,,,,,,,,
1038140,ammomod_subsonic,0,0,0,0,,,,,,,,,,,,,
1038141,ammomod_wound,0,0,0,0,,,,,,,,,,,,,
1038142,ammomod_incendiary,0,0,0,0,,,,,,,,,,,,,
1038143,ammomod_762,0,0,0,0,,,,,,,,,,,,,
1038144,ammomod_exitdamage,0,0,0,0,,,,,,,,,,,,,
1038145,xmagslrg,0,0,0,0,,,,,,,,,,,,,
1038146,gripvertpro,0,0,0,0,655,1,656,7,,,,,,,,,
1038147,reargrip,0,0,0,0,,,,,,,,,,,,,
1038148,pistolgrip01,0,0,0,0,651,2,,,,,,,,,,,
1038149,pistolgrip02,0,0,0,0,656,1,,,,,,,,,,,
1038150,pistolgrip03,0,0,0,0,,,,,,,,,,,,,
1038151,pistolgrip04,0,0,0,0,,,,,,,,,,,,,
1038152,pistolgrip05,0,0,0,0,,,,,,,,,,,,,
1038153,gunperk_adsup_reflex,0,0,0,0,,,,,,,,,,,,,
1038154,gunperk_adsup_holo,0,0,0,0,,,,,,,,,,,,,
1038155,gunperk_adsup_acog,0,0,0,0,,,,,,,,,,,,,
1038156,gunperk_adsup_hybrid,0,0,0,0,,,,,,,,,,,,,
1038157,gunperk_adsup_scope,0,0,0,0,,,,,,,,,,,,,
1038158,ubshtgn,0,0,0,0,,,,,,,,,,,,,
1038159,ubshtgn02,0,0,0,0,,,,,,,,,,,,,
1038160,gloves01,0,0,0,0,,,,,,,,,,,,,
1038161,gloves02,0,0,0,0,,,,,,,,,,,,,
1038162,magrelease,0,0,0,0,,,,,,,,,,,,,
1038163,hammer01,0,0,0,0,,,,,,,,,,,,,
1038164,hammer02,0,0,0,0,,,,,,,,,,,,,
1038165,hammer03,0,0,0,0,,,,,,,,,,,,,
1038166,hammer04,0,0,0,0,,,,,,,,,,,,,
1038167,guard,0,0,0,0,,,,,,,,,,,,,
1038168,mod_infil,0,0,0,0,,,,,,,,,,,,,
1038169,acog3,0,0,0,0,,,,,,,,,,,,,
1038170,holo3,0,0,0,0,372,1,374,12,,,,,,,,,
1038171,meleeub,0,0,0,0,,,,,,,,,,,,,
1038172,melee2,0,0,0,0,,,,,,,,,,,,,
1038173,barcustnoguard,0,0,0,0,,,,,,,,,,,,,
