1,assassination,LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_mp_br_mapmenu_icon_assassin_objective,assassin,1,p,,brloot_assassination_tablet,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,
2,assassination_all,LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_mp_br_mapmenu_icon_assassin_objective,assassin_all,0,p,,,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,
3,assassination_all_timed,LUA_MENU_MP/MISSION_ASSASSIN_2_TITLE,,,MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,ui_mp_br_mapmenu_icon_assassin_objective,assassin_all,1,p,,,,ui_mp_br_mapmenu_legend_tablet_assassin,MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,,
4,domination,LUA_MENU_MP/MISSION_DOM_1_TITLE,MP_BR_INGAME/MISSION_DOM_1_DESC,,,ui_mp_br_mapmenu_icon_dom_objective,domination,1,,,brloot_domination_tablet,MP_BR_INGAME/MISSION_DOM_1_EXTRA_REWARD,ui_mp_br_mapmenu_legend_tablet_dom,MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,,
5,timedrun,LUA_MENU_MP/MISSION_TIMEDRUN_1_TITLE,MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,,,ui_mp_br_mapmenu_icon_timedrun_objective,timed_run,1,,,brloot_timedrun_tablet,,ui_mp_br_mapmenu_legend_tablet_timedrun,MP_BR_INGAME/TIMEDRUN_CONTRACT,ui_mp_br_contracts_splash_icon_timerun,,,
6,scavenger,LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,MP_BR_INGAME/MISSION_SCAVENGERHUNT_1_DESC,3,LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,scavenger_3,1,i,1,brloot_scavenger_tablet,,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,,
7,collection,LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,MP_BR_INGAME/MISSION_SCAVENGERHUNT_1_DESC,10,LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,default,,i,1,,,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,,
8,vip,LUA_MENU_MP/MISSION_VIP_1_TITLE,,,MP_BR_INGAME/MISSION_VIP_TARGET_1,ui_mp_br_mapmenu_icon_vip_objective,vip,1,p,,brloot_vip_tablet,,ui_mp_br_mapmenu_legend_tablet_vip,MP_BR_INGAME/VIP_CONTRACT,ui_mp_br_contracts_splash_icon_hvt,,,
9,geigerstash,LUA_MENU_MP/MISSION_GEIGER_1_TITLE,,,MP_BR_INGAME/MISSION_GEIGER_TARGET_1,ui_mp_br_mapmenu_icon_geiger_objective,geigerstash,1,,,brloot_geigerstash_tablet,,ui_mp_br_mapmenu_legend_tablet_geiger,MP_BR_INGAME/GEIGERSTASH_CONTRACT,ui_mp_br_contracts_splash_icon_geiger,,,
10,gt_extract_1,LUA_MENU_MP/EXTRACT_MISSION_1_TITLE,MP_BR_INGAME/EXTRACT_MISSION_1_DESC,,MP_BR_INGAME/EXTRACT_MISSION_TARGET,ui_mp_br_mapmenu_icon_helipad,default,0,i,,,,,,,,,
11,gt_evac,LUA_MENU_MP/EVAC_MISSION_TITLE,MP_BR_INGAME/EVAC_MISSION_DESC,,,ui_mp_br_mapmenu_icon_helipad,default,0,,,,,,,,,,
12,blueprintextract,LUA_MENU_MP/MISSION_EXTRACT_1_TITLE,,,MP_BR_INGAME/MISSION_EXTRACT_TARGET_1,ui_mp_br_mapmenu_icon_extraction_objective,blueprintextract,1,p,1,brloot_blueprintextract_tablet,,ui_mp_br_mapmenu_legend_tablet_dom,MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_extraction,BRLootItemRarity.SpecialMission,,
13,attraction_racetrack,,,,,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,attraction_racetrack,1,,,br_attraction_rt,,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,,
14,attraction_racetrack_heli,,,,,ui_mp_br_mapmenu_icon_poi_sb_race_helo,attraction_racetrack,1,,,br_attraction_rt_h,,ui_mp_br_mapmenu_icon_poi_sb_race_helo,MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,,
15,attraction_racetrack_parachute,,,,,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,attraction_racetrack,1,,,br_attraction_rt_p,,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,,
16,secretstash,LUA_MENU_MP/MISSION_SECRETSTASH_1_TITLE,MP_BR_INGAME/MISSION_SECRETSTASH_1_DESC,,,ui_mp_br_mapmenu_icon_scavengerhunt_objective,secretstash,1,,,brloot_secretstash_tablet,,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,MP_BR_INGAME/SECRETSTASH_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,,
17,smokinggun,LUA_MENU_MP/MISSION_SMOKINGGUN_1_TITLE,MP_BR_INGAME/MISSION_SMOKINGGUN_1_DESC,5,LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_x1_01_objective,default,0,i,1,,,ui_mp_br_mapmenu_icon_x1_01_objective,MP_BR_INGAME/SMOKINGGUN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,LOOT_MP/EMBLEM,
18,history,LUA_MENU_MP/MISSION_HISTORY_TITLE,LUA_MENU_MP/MISSION_HISTORY_DESC,,,ui_mp_br_mapmenu_icon_x1_02_objective,default,0,i,1,,,ui_mp_br_mapmenu_icon_x1_02_objective,MP_BR_INGAME/HISTORY_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,LOOT_MP/CALLING_CARD,
19,x1stash,LUA_MENU_MP/MISSION_X1STASH_TITLE,LUA_MENU_MP/MISSION_X1STASH_DESC,3,,ui_mp_br_mapmenu_icon_x1_03_objective,default,0,i,1,,,ui_mp_br_mapmenu_icon_x1_03_objective,MP_BR_INGAME/X1STASH_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,LOOT_MP/CHARM,
20,x1fin,LUA_MENU_MP/MISSION_X1FIN_1_TITLE,MP_BR_INGAME/MISSION_X1FIN_DESC,,MP_BR_INGAME/MISSION_X1FIN_LOC,ui_mp_br_mapmenu_icon_x1_04_objective,default,0,s,1,,,ui_mp_br_mapmenu_icon_x1_04_objective,MP_BR_INGAME/X1FIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,LOOT_MP/WEAPON_BLUEPRINT,
