mp_frontier,352 1799 678,16 221 0,-352 -1980 680,12 45 0,-23 461 442,7 269 0,,,
mp_metropolis,1110 1454 528,27 225 0,-1344 -1806 460,32 126 0,-736 -747 234,25 71 0,,,
mp_proto,2491 102 851,22 228 0,-1669 -803 942,13 108 0,-321 1350 885,31 324 0,,,
mp_quarry,-11 -2226 629,20 -91 0,-2248 1616 719,28 303 0,2242 1562 825,30 236 0,,,
mp_divide,2835 704 903,11 211 0,-2368 1489 1057,20 252 0,-383 -294 1896,70 269 0,,,
mp_desert,-2168 695 760,47 288 0,2292 -440 760,26 136 0,-75 -1437 860,32 99 0,,,
mp_riot,29 2647 647,24 184 0,-953 -3146 518,27 48 0,-866 -270 464,62 179 0,,,
mp_parkour,218 3433 510,12 226 0,-1320 -3588 563,14 37 0,-124 -151 224,10 51 0,,,
mp_skyway,450 -621 229,20 64 0,324 3953 503,28 302 0,2371 2422 547,44 244 0,,,
mp_breakneck,-41582 1071 482,23 240 0,-28096 1036 412,19 290 0,-39855 286 531,55 270 0,,,
mp_rivet,-330 -2833 1304,24 74 0,-43 2876 1464,30 270 0,-1891 2 1246,29 360 0,,,
mp_fallen,-2550 2012 1480,23 321 0,3229 865 1613,42 149 0,428 74 1281,27 90 0,,,
mp_chasm,-41 2518 1858,14 233 0,-1659 -2627 1567,15 79 0,411 410 1751,19 219 0,322 -1604 1762,19 116 0 ,
mp_dart,-1565 2274 309,28 324 0,1633 -1503 326,27 138 0,801 856 631,27 209 0,114 394 362,16 291 0,
mp_fahrenheit,341 -1102 1167,30 231 0,1804 244 950,15 220 0,-998 -3646 880,21 61 0,1842 -2145 1117,26 149 0,
mp_flooded,1362 1710 622,23 235 0,513 58 651,25 157 0,-1051 -1383 305,10 23 0,1455 481 518,21 231 0,
mp_frag,-734 556 572,22 41 0,-981 3543 584,24 313 0,1801 -845 695,33 149 0,1550 1087 619,32 198 0,
mp_hashima,166 3056 615,28 162 0,183 2523 760,27 234 0,-1106 464 864,23 330 0,-2475 1802 407,11 43 0,
mp_lonestar,-1736 -778 237,11 41 0,1819 -68 525,27 143 0,535 948 748,37 207 0,1304 -1217 652,31 154 0,
mp_prisonbreak,-768 867 1567,30 212 0,-564 1999 1484,27 319 0,2239 -790 1180,13 149 0,1013 -2184 1056,8 140 0,
mp_skeleton,748 2320 709,30 196 0,665 -162 615,35 30 0,1285 3960 1033,38 297 0,-1264 -1999 737,30 57 0,
mp_snow,-1647 2444 761,31 320 0,986 862 301,15 315 0,-347 -2465 650,33 111 0,3231 2259 311,11 191 0,
mp_sovereign,1628 1544 457,24 230 0,659 -1063 726,32 127 0,-621 1692 680,28 319 0,403 141 721,48 140 0,
mp_strikezone,-1060 -176 213,25 332 0,1207 -1155 213,27 149 0,1783 671 90,16 171 0,-1569 977 110,8 327 0,
mp_strikezone_b,-1968 60 35423,24 12 0,737 -1595 35374,26 113 0,1620 1267 35222,22 216 0,13 -1609 35293,22 113 0,
mp_warhawk,-92 -2767 488,25 81 0,335 -1135 428,17 129 0,1352 2328 596,31 229 0,-413 1470 344,27 233 0,
mp_zebra,4442 248 809,22 170 0,3701 -1073 809,23 188 0,916 1071 1106,36 307 0,-207 -3292 1009,27 48 0,
mp_descent_new,1342 330 5929,35 210 0,-323 1755 5482,11 306 0,-60 -1647 5583,19 75 0,-412 335 5817,31 330 0,
