mp_frontier,-142 1381 713,22 73 0,-78 -2131 628,12 83 0,
mp_metropolis,-517 -1865 153,19 61 0,-1851 2076 153,18 282 0,
mp_proto,2388 -405 714,25 97 0,-1992 -592 762,19 66 0,
mp_quarry,-2029 1558 416,25 289 0,1613 -1577 416,21 107 0,
mp_divide,2528 219 745,26 132 0,-2723 1130 810,26 305 0,
mp_desert,-2302 733 506,24 284 0,2087 -584 527,18 107 0,
mp_riot,-634 2519 428,24 275 0,-674 -2058 389,26 70 0,
mp_parkour,-94 3395 382,24 251 0,-596 -3405 382,27 108 0,
mp_skyway,2224 -717 1,15 93 0,846 4663 150,18 257 0,
mp_breakneck,-42061 101 311,24 84 0,-37526 175 248,15 131 0,
mp_rivet,156 -2449 1063,23 106 0,-17 2370 1005,19 279 0,
mp_fallen,-1748 1201 1157,28 76 0,2360 739 1157,24 60 0,
