loadoutName,AK47,AK47,M4,M4,FAL,FAL,P90,P90,MP5,MP5,Uzi,Uzi,M1911,M1911,Desert Eagle,Desert Eagle,Citori,Citori,Origin12,Origin12,Kar98,Kar98,AX-50,AX-50,PKM,PKM,L86,L86,
loadoutPrimary,iw8_ar_akilo47,iw8_ar_akilo47,iw8_ar_mike4,iw8_ar_mike4,iw8_ar_falima,iw8_ar_falima,iw8_sm_papa90,iw8_sm_papa90,iw8_sm_mpapa5,iw8_sm_mpapa5,iw8_sm_uzulu,iw8_sm_uzulu,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_decho,iw8_pi_decho,iw8_sh_charlie725,iw8_sh_charlie725,iw8_sh_oscar12,iw8_sh_oscar12,iw8_sn_kilo98,iw8_sn_kilo98,iw8_sn_alpha50,iw8_sn_alpha50,iw8_lm_pkilo,iw8_lm_pkilo,iw8_lm_lima86,iw8_lm_lima86,
loadoutPrimaryAttachment1,reflex4,none,reflex,none,holo2,none,none,reflex2,holo2,none,reflex,none,none,silencer,reflex,silencer,none,none,none,none,none,scope,scope,scope,none,holo2,none,reflex,
loadoutPrimaryAttachment2,gl,none,gl,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,iw8_pi_mike1911,iw8_la_rpapa7,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_sh_oscar12,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_sn_mike14,iw8_pi_mike1911,iw8_sh_oscar12,none,none,none,none,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_pi_mike1911,iw8_sh_charlie725,iw8_pi_mike1911,iw8_pi_mike1911,iw8_sm_papa90,iw8_pi_mike1911,iw8_sn_kilo98,iw8_la_rpapa7,iw8_pi_mike1911,
loadoutSecondaryAttachment1,none,none,none,silencer,none,none,silencer,silencer,reflex,silencer,silencer,reflex,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipmentPrimary,equip_c4,equip_molotov,equip_c4,equip_frag,equip_molotov,equip_frag,equip_molotov,equip_frag,equip_c4,equip_frag,equip_frag,equip_c4,equip_frag,equip_molotov,equip_frag,equip_molotov,equip_molotov,equip_throwing_knife,equip_semtex,equip_c4,equip_semtex,equip_frag,equip_molotov,equip_frag,equip_semtex,equip_molotov,equip_frag,equip_molotov,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_concussion,equip_smoke,equip_concussion,equip_smoke,equip_flash,equip_smoke,equip_concussion,equip_concussion,equip_flash,equip_flash,equip_smoke,equip_concussion,equip_concussion,equip_trophy,equip_concussion,equip_concussion,equip_flash,equip_concussion,equip_flash,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_blastshield,specialty_extra_deadly,specialty_blastshield,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_twoprimaries,specialty_blastshield,specialty_blastshield,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_blastshield,specialty_null,specialty_null,specialty_null,specialty_blastshield,specialty_null,specialty_blastshield,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_blastshield,specialty_null,specialty_null,specialty_blastshield,specialty_null,specialty_null,specialty_blastshield,specialty_null,specialty_blastshield,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
