loadoutName,MP_BR_INGAME/BR_DEFAULT_CLASS_1,MP_BR_INGAME/BR_DEFAULT_CLASS_2,MP_BR_INGAME/BR_DEFAULT_CLASS_3,MP_BR_INGAME/BR_DEFAULT_CLASS_4,MP_BR_INGAME/BR_DEFAULT_CLASS_5,
loadoutPrimary,iw8_ar_kilo433,iw8_ar_mike4,iw8_lm_pkilo,iw8_sm_mpapa5,iw8_sn_kilo98,
loadoutPrimaryAttachment1,ammomod_wound,gripang,barmid,pistolgrip02,stockh,
loadoutPrimaryAttachment2,pistolgrip03,stockh,fastreload,gripang,pistolgrip01,
loadoutPrimaryAttachment3,gripcust,xmags,pistolgrip03,stockh,flinch,
loadoutPrimaryAttachment4,hybrid2,hybrid3,gripcust,barsil,vzscope,
loadoutPrimaryAttachment5,xmagslrg,silencer2,acog3,reflex2,barlong,
loadoutPrimaryAttachment6,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,
loadoutSecondary,iw8_pi_cpapa,iw8_la_gromeo,iw8_me_riotshield,iw8_pi_decho,iw8_sh_oscar12,
loadoutSecondaryAttachment1,pistolgrip02,none,none,xmags,xmags,
loadoutSecondaryAttachment2,ammomod_slow,none,none,akimbo,gripang,
loadoutSecondaryAttachment3,trigcust03,none,none,laser,ammomod_slow,
loadoutSecondaryAttachment4,reflexmini,none,none,pistolgrip02,barlong,
loadoutSecondaryAttachment5,barlong,none,none,trigcust,choke,
loadoutSecondaryCamo,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,
loadoutEquipmentPrimary,equip_molotov,equip_at_mine,equip_semtex,equip_thermite,equip_claymore,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,equip_gas_grenade,equip_flash,equip_snapshot_grenade,equip_smoke,equip_concussion,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutGesture,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,iw8_ges_plyr_gesture000,
loadoutExecution,neck_stab,neck_stab,neck_stab,neck_stab,neck_stab,
loadoutSuper,none,none,none,none,none,
loadoutPerk1,specialty_eod,specialty_covert_ops,specialty_quick_fix,specialty_covert_ops,specialty_eod,
loadoutPerk2,specialty_restock,specialty_guerrilla,specialty_munitions_2,specialty_guerrilla,specialty_munitions_2,
loadoutPerk3,specialty_extra_shrapnel,specialty_tactical_recon,specialty_tac_resist,specialty_huntmaster,specialty_tactical_recon,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutSpecialist,FALSE,FALSE,FALSE,FALSE,FALSE,
loadoutRole,role_hunter,role_tank,role_demolition,role_medic,role_tank,
