loadoutName,AK47,SCAR,M4,Famas,MCX,FAL,ASH12,Kilo433,Tango21,Sierra552,P90,MP5,PP19,Aug,MP7,Uzi,SMGOLF45,Glock,M1911,Colt,DE,P320,M9,Citori,R870,DP12,Origin12,Mike26,M14,Marlin,Crossbow,Kar98,SKSierra,AX-50,Dragunov,HDR,HK121,PKM,L86,MG34,MG36,MKILO3,Riot Shield,RPG,Grenade Launcher,
loadoutPrimaryAddBlueprintAttachments,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,
loadoutPrimary,iw8_ar_akilo47,iw8_ar_scharlie,iw8_ar_mike4,iw8_ar_falpha,iw8_ar_mcharlie,iw8_ar_falima,iw8_ar_asierra12,iw8_ar_kilo433,iw8_ar_tango21,iw8_ar_sierra552,iw8_sm_papa90,iw8_sm_mpapa5,iw8_sm_beta,iw8_sm_augolf,iw8_sm_mpapa7,iw8_sm_uzulu,iw8_sm_smgolf45,iw8_pi_golf21,iw8_pi_mike1911,iw8_pi_cpapa,iw8_pi_decho,iw8_pi_papa320,iw8_pi_mike9,iw8_sh_charlie725,iw8_sh_romeo870,iw8_sh_dpapa12,iw8_sh_oscar12,iw8_sh_mike26,iw8_sn_mike14,iw8_sn_sbeta,iw8_sn_crossbow,iw8_sn_kilo98,iw8_sn_sksierra,iw8_sn_alpha50,iw8_sn_delta,iw8_sn_hdromeo,iw8_lm_kilo121,iw8_lm_pkilo,iw8_lm_lima86,iw8_lm_mgolf34,iw8_lm_mgolf36,iw8_lm_mkilo3,iw8_me_riotshield,iw8_la_rpapa7,iw8_la_mike32,
loadoutPrimaryAttachment1,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryVariantID,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,
