0,iw8_ar_asierra12_variant_0,iw8_ar_asierra12,,,,,,,,,,,,,,,WEAPON/AR_ASIERRA12,ui_loot_weapon_ar_asierra12,,,
1,iw8_ar_asierra12_variant_1,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|1 front|1 mag|1 toprail|1,,,,,holo2|4,,,,gunperk_xp,,,,WEAPON/AR_ASIERRA12_V2,ui_loot_weapon_ar_asierra12_v2,,,
2,iw8_ar_asierra12_variant_2,iw8_ar_asierra12,,rec|2 front|2 mag|2 toprail|2,silencer2|1,,,,scope|1,,,stockh|1,ammomod_wound,,,,WEAPON/AR_ASIERRA12_V3,ui_loot_weapon_ar_asierra12_v3,,,
3,iw8_ar_asierra12_variant_3,iw8_ar_asierra12,,rec|3 front|3 toprail|3,flashhider|1,,,gripcust|2,,xmags|1,,,maxammo,,,,WEAPON/AR_ASIERRA12_V4,ui_loot_weapon_ar_asierra12_v4,,,
4,iw8_ar_asierra12_variant_4,iw8_ar_asierra12,,rec|4 front|4 mag|4 toprail|4,comp|7,,,gripvert|1,acog2|2,,,stockl|1,ammomod_slow,,,,WEAPON/AR_ASIERRA12_V5,ui_loot_weapon_ar_asierra12_v5,,,
5,iw8_ar_asierra12_variant_5,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|5 front|5 toprail|5,flashhider|5,,,gripcust|1,,xmagslrg|1,,,,,,,WEAPON/AR_ASIERRA12_V6,ui_loot_weapon_ar_asierra12_v6,,,
6,iw8_ar_asierra12_variant_6,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|6 front|6 mag|6 toprail|6,,,,gripangpro|8,reflex3|7,,,stocks|2,,,,,WEAPON/AR_ASIERRA12_V7,ui_loot_weapon_ar_asierra12_v7,,,
7,iw8_ar_asierra12_variant_7,iw8_ar_asierra12,,rec|7 front|7 mag|7 toprail|7,,,laserbalanced|6,gl|2,hybrid2|10,,pistolgrip03|1,stockl|2,,,,,WEAPON/AR_ASIERRA12_V8,ui_loot_weapon_ar_asierra12_v8,,,
8,iw8_ar_asierra12_variant_8,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|8 front|8 mag|8 toprail|8,brake|8,,,ubshtgn|6,vzscope|1,,pistolgrip02|2,stocks|1,,,,,WEAPON/AR_ASIERRA12_V9,ui_loot_weapon_ar_asierra12_v9,,,
9,iw8_ar_asierra12_variant_9,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|9 mag|9 toprail|9,silencer|2,barshort|1,,gripvertpro|13,reflexmini2|7,,pistolgrip02|1,,,,,,WEAPON/AR_ASIERRA12_V10,ui_loot_weapon_ar_asierra12_v10,,,
10,iw8_ar_asierra12_variant_10,iw8_ar_asierra12,,rec|10 front|10 mag|10 toprail|10,brake|9,,laserbalanced|10,gripang|7,,,,stockl|3,fastreload,,,,WEAPON/AR_ASIERRA12_V11,ui_loot_weapon_ar_asierra12_v11,,,
11,iw8_ar_asierra12_variant_11,iw8_ar_asierra12,,rec|11 toprail|11,,barshort|2,laserrange|8,,,xmagslrg|2,pistolgrip02|3,stockl|4,,,,,WEAPON/AR_ASIERRA12_V12,ui_loot_weapon_ar_asierra12_v12,,,
12,iw8_ar_asierra12_variant_12,iw8_ar_asierra12,,rec|12 front|12 mag|12 toprail|12,,barlong|2,,gl|5,hybrid4|6,xmags|2,,stocks|4,,,,,WEAPON/AR_ASIERRA12_V13,ui_loot_weapon_ar_asierra12_v13,,,
13,iw8_ar_asierra12_variant_13,iw8_ar_asierra12,iw8_ar_asierra12_mpv2,rec|13 front|13 mag|13 toprail|13,comp|1,barlong|3,,,reflexmini3|9,,pistolgrip02|4,stocks|5,,,,,WEAPON/AR_ASIERRA12_V14,ui_loot_weapon_ar_asierra12_v14,,,
14,iw8_ar_asierra12_variant_14,iw8_ar_asierra12,,rec|14 mag|14 toprail|14,silencer3|14,barshort|3,laserrange|10,gripangpro|3,,,,stocks|3,,,,,WEAPON/AR_ASIERRA12_V15,ui_loot_weapon_ar_asierra12_v15,,,
