0,iw8_ar_t9damage_variant_0,iw8_ar_t9damage,,,,,,,,,,,,,,,WEAPON_TANGO/AR_T9DAMAGE,ui_loot_weapon_ar_t9damage,
1,iw8_ar_t9damage_variant_1,iw8_ar_t9damage,,rec|1 front|1 back|1 mag|1,,barcust3|1,,,,xmagslrg|1,pistolgrip06|1,stockl|1,,,,,WEAPON_TANGO/AR_T9DAMAGE_V2,ui_loot_weapon_ar_t9damage_v1,
2,iw8_ar_t9damage_variant_2,iw8_ar_t9damage,,rec|2 front|2 back|2 mag|2,,,,gripcust|1,reflexmini|0,,pistolgrip04|1,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V3,ui_loot_weapon_ar_t9damage_v2,
3,iw8_ar_t9damage_variant_3,iw8_ar_t9damage,,rec|3 front|3 back|3 mag|3,silencer|1,barcust3|3,,,,xmagslrg|2,,stockh|1,,,,,WEAPON_TANGO/AR_T9DAMAGE_V4,ui_loot_weapon_ar_t9damage_v3,
4,iw8_ar_t9damage_variant_4,iw8_ar_t9damage,,rec|4 front|4 back|4 mag|4,comp|1,barcust2|1,laserrange|1,,,,pistolgrip04|2,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V5,ui_loot_weapon_ar_t9damage_v4,
5,iw8_ar_t9damage_variant_5,iw8_ar_t9damage,,rec|5 front|5 back|5 mag|5,comp|2,,,gripang|1,reflexmini|0,xmags|1,,stockl|2,,,,,WEAPON_TANGO/AR_T9DAMAGE_V6,ui_loot_weapon_ar_t9damage_v5,
6,iw8_ar_t9damage_variant_6_ms,iw8_ar_t9damage,,rec|13 front|13 back|13 mag|6,,barlong|5,laserbalanced|4,,,xmags|4,pistolgrip06|4,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V7,ui_loot_weapon_ar_t9damage_v6,
7,iw8_ar_t9damage_variant_7,iw8_ar_t9damage,,rec|7 front|7 back|7 mag|7,silencer2|1,,laser|1,,,fastmags2|1,,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V8,ui_loot_weapon_ar_t9damage_v7,
8,iw8_ar_t9damage_variant_8,iw8_ar_t9damage,,rec|8 front|8 back|8 mag|8,comp|3,barlong|2,laserrange|2,gripcust2|1,,,pistolgrip03|1,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V9,ui_loot_weapon_ar_t9damage_v8,
9,iw8_ar_t9damage_variant_9,iw8_ar_t9damage,,rec|9 front|9 back|9 mag|9,,barcust3|4,,,,,,stockh|2,,,,,WEAPON_TANGO/AR_T9DAMAGE_V10,ui_loot_weapon_ar_t9damage_v9,
10,iw8_ar_t9damage_variant_10,iw8_ar_t9damage,,rec|10 front|10 back|10 mag|10,comp|4,,,gripang|0,holo2|0,,,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V11,ui_loot_weapon_ar_t9damage_v10,
11,iw8_ar_t9damage_variant_11,iw8_ar_t9damage,iw8_ar_t9damage_mpmc,rec|11 front|11 back|11 mag|11,comp|5,barlong|3,laserbalanced|1,gripcust|2,,smags|1,,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V12,ui_loot_weapon_ar_t9damage_v11,
12,iw8_ar_t9damage_variant_6_sy,iw8_ar_t9damage,,rec|12 front|12 back|12 mag|6,,barlong|4,laserbalanced|3,,,xmags|3,pistolgrip06|3,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V7,ui_loot_weapon_ar_t9damage_v6,
13,iw8_ar_t9damage_variant_6_pc,iw8_ar_t9damage,,rec|6 front|6 back|6 mag|6,,barlong|1,laserbalanced|1,,,xmags|2,pistolgrip06|2,,,,,,WEAPON_TANGO/AR_T9DAMAGE_V7,ui_loot_weapon_ar_t9damage_v6,
