0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1040012,,,1,2040000,,,1,2040001|2040002|2040003|2040004|2040005|2040006|2040007|2040008|2040009,861,ch_gs_lm_lima86_camo_01b,1,,,,,,,,,,,,,
2,1040124,,,1,,,,,,,,,,,,,,,,,,,,,
3,1040133,,,1,,,,,,,,,,,,,,,,,,,,,
4,1040015,,,1,,,,,,,,,,,,,,,,,,,,,
5,1040034,,,1,,,,,,,,,,,,,,,,,,,,,
6,1040004,,,2,,,,,,,,,,,,,,,,,,,,,
7,1040135,,,2,,,,,,,,,,,,,,,,,,,,,
8,1040072,,,2,2040010,,,2,2040011|2040012|2040013|2040014|2040015|2040016|2040017|2040018|2040019,862,ch_gs_lm_lima86_camo_02b,2,,,,,,,,,,,,,
9,1040084,,,2,7040000,,,2,,,,,,,,,,,,,,,,,
10,1040055,,,2,,,,,,,,,,,,,,,,,,,,,
11,1040008,,,3,,,,,,,,,,,,,,,,,,,,,
12,1040038,,,3,,,,,,,,,,,,,,,,,,,,,
13,1040139,,,3,,,,,,,,,,,,,,,,,,,,,
14,1040000,,,3,,,,,,,,,,,,,,,,,,,,,
15,1040050,,,3,2040020,,,3,2040021|2040022|2040023|2040024|2040025|2040026|2040027|2040028|2040029,863,ch_gs_lm_lima86_camo_03b,3,,,,,,,,,,,,,
16,1040172,,,4,,,,,,,,,,,,,,,,,,,,,
17,1040017,,,4,,,,,,,,,,,,,,,,,,,,,
18,1040107,,,4,,,,,,,,,,,,,,,,,,,,,
19,1040071,,,4,,,,,,,,,,,,,,,,,,,,,
20,1040035,,,4,,,,,,,,,,,,,,,,,,,,,
21,1040013,,,5,2040030,,,5,2040031|2040032|2040033|2040034|2040035|2040036|2040037|2040038|2040039,864,ch_gs_lm_lima86_camo_04b,5,,,,,,,,,,,,,
22,1040150,,,5,,,,,,,,,,,,,,,,,,,,,
23,1040037,,,5,7040001,,,5,,,,,,,,,,,,,,,,,
24,1040019,,,5,,,,,,,,,,,,,,,,,,,,,
25,1040128,,,5,,,,,,,,,,,,,,,,,,,,,
26,1040059,,,6,,,,,,,,,,,,,,,,,,,,,
27,1040053,,,6,2040040,,,6,2040041|2040042|2040043|2040044|2040045|2040046|2040047|2040048|2040049,865,ch_gs_lm_lima86_camo_05b,6,,,,,,,,,,,,,
28,1040025,,,6,,,,,,,,,,,,,,,,,,,,,
29,1040119,,,6,,,,,,,,,,,,,,,,,,,,,
30,1040058,,,6,,,,,,,,,,,,,,,,,,,,,
31,1040039,,,7,,,,,,,,,,,,,,,,,,,,,
32,1040002,,,7,,,,,,,,,,,,,,,,,,,,,
33,1040085,,,7,2040050,,,7,2040051|2040052|2040053|2040054|2040055|2040056|2040057|2040058|2040059,866,ch_gs_lm_lima86_camo_06b,7,,,,,,,,,,,,,
34,1040148,,,7,,,,,,,,,,,,,,,,,,,,,
35,1040006,,,7,,,,,,,,,,,,,,,,,,,,,
36,1040145,,,8,,,,,,,,,,,,,,,,,,,,,
37,1040073,,,8,,,,,,,,,,,,,,,,,,,,,
38,1040014,,,8,2040060,,,8,2040061|2040062|2040063|2040064|2040065|2040066|2040067|2040068|2040069,867,ch_gs_lm_lima86_camo_07b,8,,,,,,,,,,,,,
39,1040049,,,8,7040002,,,8,,,,,,,,,,,,,,,,,
40,1040146,,,8,,,,,,,,,,,,,,,,,,,,,
41,1040095,,,9,,,,,,,,,,,,,,,,,,,,,
42,1040149,,,9,,,,,,,,,,,,,,,,,,,,,
43,1040036,,,9,,,,,,,,,,,,,,,,,,,,,
44,1040020,,,9,2040070,,,9,2040071|2040072|2040073|2040074|2040075|2040076|2040077|2040078|2040079,868,ch_gs_lm_lima86_camo_08b,9,,,,,,,,,,,,,
45,1040043,,,9,,,,,,,,,,,,,,,,,,,,,
46,1040170,,,10,,,,,,,,,,,,,,,,,,,,,
47,1040110,,,10,,,,,,,,,,,,,,,,,,,,,
48,1040169,,,10,,,,,,,,,,,,,,,,,,,,,
49,1040063,,,10,,,,,,,,,,,,,,,,,,,,,
50,1040027,,,10,2040080,,,10,2040081|2040082|2040083|2040084|2040085|2040086|2040087|2040088|2040089,869,ch_gs_lm_lima86_camo_09b,10,,,,,,,,,,,,,
51,1040141,,,11,,,,,,,,,,,,,,,,,,,,,
52,1040056,,,11,,,,,,,,,,,,,,,,,,,,,
53,1040010,,,11,7040003,,,11,,,,,,,,,,,,,,,,,
54,1040040,,,11,,,,,,,,,,,,,,,,,,,,,
55,1040029,,,11,2040090,,,11,2040091|2040092|2040093|2040094|2040095|2040096|2040097|2040098|2040099,870,ch_gs_lm_lima86_camo_10b,11,2040100,1661,iw8_lm_lima86_gold_camo,11,2040101,1699,iw8_lm_lima86_diamond_camo,11,2040102,1737,iw8_lm_lima86_black_camo,11,
-1,2040118,9020,ch_gs_lm_lima86_camo_11d,12,,,,,,,,,,,,,,,,,,,,,
