0,iw8_pi_mike9_variant_0,iw8_pi_mike9,,,,,,,,,,,,,,,WEAPON/PI_MIKE9,ui_loot_weapon_pi_mike9,,,
1,iw8_pi_mike9_variant_1,iw8_pi_mike9,,rec|1 front|1 mag|1,comp|1,barcust|1,,,,xmagslrg|1,pistolgrip03|1,,,trigcust|1,,,WEAPON/PI_MIKE9_V2,ui_loot_weapon_pi_mike9_v2,,,
2,iw8_pi_mike9_variant_2,iw8_pi_mike9,,rec|2 front|2 mag|2,,barshort|1,laserrange|13,,,,pistolgrip02|1,,,trigcust|2,,,WEAPON/PI_MIKE9_V3,ui_loot_weapon_pi_mike9_v3,,,
3,iw8_pi_mike9_variant_3,iw8_pi_mike9,,rec|3 front|3 mag|3,comp|2,barcust|2,,,,,pistolgrip03|2,stockcust|1,,trigcust|3,,gripcust|1,WEAPON/PI_MIKE9_V4,ui_loot_weapon_pi_mike9_v4,,,
4,iw8_pi_mike9_variant_4,iw8_pi_mike9,,rec|4 front|4 mag|4,comp|3,barlong|1,laserbalanced|1,,scope|1,,,stocks|1,,,,,WEAPON/PI_MIKE9_V5,ui_loot_weapon_pi_mike9_v5,,,
5,iw8_pi_mike9_variant_5,iw8_pi_mike9,,rec|5 front|5 mag|5,,barcust|3,,,,,pistolgrip03|3,,,trigcust|4,,,WEAPON/PI_MIKE9_V6,ui_loot_weapon_pi_mike9_v6,,,
6,iw8_pi_mike9_variant_6,iw8_pi_mike9,,rec|6 front|6 mag|6,,barlong|2,,,,xmags|1,pistolgrip03|4,,akimbo,trigcust|5,,,WEAPON/PI_MIKE9_V7,ui_loot_weapon_pi_mike9_v7,,,
7,iw8_pi_mike9_variant_7,iw8_pi_mike9,iw8_pi_mike9_mpmtx,rec|7 front|7 mag|7,comp|4,,laserrange|1,,,xmagslrg|2,,,akimbo,trigcust|6,,,WEAPON/PI_MIKE9_V8,ui_loot_weapon_pi_mike9_v8,,blue,
8,iw8_pi_mike9_variant_8,iw8_pi_mike9,,rec|1 front|1 mag|1,,,,,,,,,,,,,WEAPON/PI_MIKE9_V9,ui_loot_weapon_pi_mike9_v9,,,
9,iw8_pi_mike9_variant_9,iw8_pi_mike9,,rec|1 front|1 mag|1,,,,,,,,,,,,,WEAPON/PI_MIKE9_V10,ui_loot_weapon_pi_mike9_v10,,,
10,iw8_pi_mike9_variant_10,iw8_pi_mike9,,rec|1 front|1 mag|1,,,,,,,,,,,,,WEAPON/PI_MIKE9_V11,ui_loot_weapon_pi_mike9_v11,,,
11,iw8_pi_mike9_variant_11,iw8_pi_mike9,,rec|1 front|1 mag|1,,,,,,,,,,,,,WEAPON/PI_MIKE9_V12,ui_loot_weapon_pi_mike9_v12,,,
