0,iw8_sh_dpapa12_variant_0,iw8_sh_dpapa12,,,,,,,,,,,,,,,WEAPON/SH_DPAPA12,ui_loot_weapon_sh_dpapa12,,,,
1,iw8_sh_dpapa12_variant_1,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|1 front|1 mag|1 guard|1 gripdefault|1 ,,barshort|1,laserrange|2,,,,,guardcust|1,,,,,WEAPON/SH_DPAPA12_V2,ui_loot_weapon_sh_dpapa12_v2,,,,
2,iw8_sh_dpapa12_variant_2,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|2 front|2 mag|2 guard|2 gripdefault|2,brake|1,,,,,,,guardlight|1,maxammo,,,,WEAPON/SH_DPAPA12_V3,ui_loot_weapon_sh_dpapa12_v3,,,,
3,iw8_sh_dpapa12_variant_3,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|3 front|3 mag|1 guard|3 gripdefault|3,,barlong|1,laser|1,,,,,guardheavy|1,fastreload,,,,WEAPON/SH_DPAPA12_V4,ui_loot_weapon_sh_dpapa12_v4,,,,
4,iw8_sh_dpapa12_variant_4,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|4 front|4 mag|4 guard|4 gripdefault|4,choke|1,,laserbalanced|2,,,,,guardcust|2,gunperk_hardmelee,,,,WEAPON/SH_DPAPA12_V5,ui_loot_weapon_sh_dpapa12_v5,,,,
5,iw8_sh_dpapa12_variant_5,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|5 front|5 mag|5 guard|5,melee|1,barshort|2,laserrange|3,gripvert|1,,,,guardheavy|2,,,,,WEAPON/SH_DPAPA12_V6,ui_loot_weapon_sh_dpapa12_v6,,,,
6,iw8_sh_dpapa12_variant_6,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|6 front|6 guard|6,choke|2,barlong|2,,gripvert|2,acog3|2,calcust2|0,,,,,,,WEAPON/SH_DPAPA12_V7,ui_loot_weapon_sh_dpapa12_v7,,,,
7,iw8_sh_dpapa12_variant_7,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|7 front|7 guard|7 gripdefault|7,choke|3,barlong|5,laserrange|5,,reflexmini2|4,,pistolgrip02|3,,,,,,WEAPON/SH_DPAPA12_V8,ui_loot_weapon_sh_dpapa12_v8,,,,
8,iw8_sh_dpapa12_variant_8,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|8 front|8 guard|8,silencer3|1,barlong|4,,gripvert|3,reflexmini|1,,,,ammomod_slow,,,,WEAPON/SH_DPAPA12_V9,ui_loot_weapon_sh_dpapa12_v9,,,,
9,iw8_sh_dpapa12_variant_9,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|9 front|9 mag|9 guard|9 gripdefault|9,silencer2|1,barshort|3,laser|2,,,,pistolgrip01|2,guardlight|2,,,,,WEAPON/SH_DPAPA12_V10,ui_loot_weapon_sh_dpapa12_v10,,,,
10,iw8_sh_dpapa12_variant_10,iw8_sh_dpapa12,iw8_sh_dpapa12_mpdmb,rec|10 front|10 guard|10 gripdefault|10,,barlong|3,,,reflexmini2|2,calcust2|0,pistolgrip02|2,guardcust|3,,,,,WEAPON/SH_DPAPA12_V11,ui_loot_weapon_sh_dpapa12_v11,,,1,
11,iw8_sh_dpapa12_variant_11,iw8_sh_dpapa12,iw8_sh_dpapa12_mpv2,rec|11 front|11 guard|11 gripdefault|11,silencer3|2,barshort|4,,gripcust|1,,,pistolgrip02|4,guardheavy|3,,,,,WEAPON/SH_DPAPA12_V12,ui_loot_weapon_sh_dpapa12_v12,,,,
