0,29972009|27423945|20889778|18773470|23035907,97086614219454607,t9_ch_shotgun_fullauto_t9_ekia,0,26719329,127406078506705807,t9_ch_shotgun_fullauto_t9_challenges,0,30410449,98503503162431912,t9_ch_weapon_cqb_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,18452691,,,1,,,,,,,,,,,,,,,,,,
2,23006386,,,1,,,,,,,,,,,,,,,,,,
3,23420600,,,1,,,,,,,,,,,,,,,,,,
4,22511951,,,1,29894793|18548889|30711120|33352942|25150182,102013679122344924,t9_ch_shotgun_fullauto_t9_headshots,1,,,,,,,,,,,,,,
5,25527667,,,1,,,,,,,,,,,,,,,,,,
6,26961929,,,2,,,,,,,,,,,,,,,,,,
7,33103988,,,2,,,,,,,,,,,,,,,,,,
8,27352396,,,2,,,,,,,,,,,,,,,,,,
9,26576970,,,2,24365121|31655364|18433474|22900300|24404357,99096315868878731,t9_ch_shotgun_fullauto_t9_killstreak_5,2,,,,,,,,,,,,,,
10,30582081,,,2,,,,,,,,,,,,,,,,,,
11,31164476,,,3,,,,,,,,,,,,,,,,,,
12,33516839,,,3,,,,,,,,,,,,,,,,,,
13,31080944,,,3,,,,,,,,,,,,,,,,,,
14,30943769,,,3,20295724|29031416|29734784|22416160|27554567,87888644695056914,t9_ch_shotgun_fullauto_t9_longshot_kill,3,,,,,,,,,,,,,,
15,22617215,,,3,,,,,,,,,,,,,,,,,,
16,26772569,,,4,,,,,,,,,,,,,,,,,,
17,21948531,,,4,,,,,,,,,,,,,,,,,,
18,25350936,,,4,,,,,,,,,,,,,,,,,,
19,18609115,,,4,20999095|31596820|27580009|26434589|31747616,128432533307851259,t9_ch_shotgun_fullauto_t9_kill_detected_stunned_blinded,4,,,,,,,,,,,,,,
20,22587789,,,4,,,,,,,,,,,,,,,,,,
21,28508063,,,5,,,,,,,,,,,,,,,,,,
22,26380086,,,5,,,,,,,,,,,,,,,,,,
23,31472020,,,5,,,,,,,,,,,,,,,,,,
24,27751214,,,5,28717569|21035670|24089013|25635653|25886980,75905427852422196,t9_ch_shotgun_fullauto_t9_point_blank_kill,5,,,,,,,,,,,,,,
25,24795035,,,5,,,,,,,,,,,,,,,,,,
26,19317309,,,6,,,,,,,,,,,,,,,,,,
27,30334308,,,6,,,,,,,,,,,,,,,,,,
28,30027128,,,6,,,,,,,,,,,,,,,,,,
29,22114882,,,6,32208502|19055201|24958571|28426632|30940386,119458263692733466,t9_ch_shotgun_fullauto_t9_multikill_2,6,,,,,,,,,,,,,,
30,19525086,,,6,,,,,,,,,,,,,,,,,,
31,26602851,,,7,,,,,,,,,,,,,,,,,,
32,32549785,,,7,,,,,,,,,,,,,,,,,,
33,27112500,,,7,,,,,,,,,,,,,,,,,,
34,30926614,,,7,,,,,,,,,,,,,,,,,,
35,23600588,,,7,,,,,,,,,,,,,,,,,,
