0,32837303|29073609|20766926|25997213|32740810,97438594272295712,t9_ch_shotgun_pump_t9_ekia,0,19929172,90698823273943686,t9_ch_shotgun_pump_t9_challenges,0,30410449,98503503162431912,t9_ch_weapon_cqb_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,19906588,,,1,,,,,,,,,,,,,,,,,,
2,31711507,,,1,,,,,,,,,,,,,,,,,,
3,18708619,,,1,,,,,,,,,,,,,,,,,,
4,25454000,,,1,32284554|26661126|28245011|21350726|26353802,91032994583593440,t9_ch_shotgun_pump_t9_headshots,1,,,,,,,,,,,,,,
5,28676700,,,1,,,,,,,,,,,,,,,,,,
6,28238681,,,2,,,,,,,,,,,,,,,,,,
7,25772210,,,2,,,,,,,,,,,,,,,,,,
8,24151115,,,2,,,,,,,,,,,,,,,,,,
9,18189181,,,2,22747994|23272089|30754861|33058824|23028274,111146686041699906,t9_ch_shotgun_pump_t9_killstreak_5,2,,,,,,,,,,,,,,
10,23051157,,,2,,,,,,,,,,,,,,,,,,
11,22058501,,,3,,,,,,,,,,,,,,,,,,
12,33436116,,,3,,,,,,,,,,,,,,,,,,
13,33422339,,,3,,,,,,,,,,,,,,,,,,
14,22763318,,,3,18936960|22627352|32674040|23576961|22530871,100691120653012285,t9_ch_shotgun_pump_t9_longshot_kill,3,,,,,,,,,,,,,,
15,30090947,,,3,,,,,,,,,,,,,,,,,,
16,25389655,,,4,,,,,,,,,,,,,,,,,,
17,30693677,,,4,,,,,,,,,,,,,,,,,,
18,30738043,,,4,,,,,,,,,,,,,,,,,,
19,31613154,,,4,22097917|20637771|21270804|26628775|33009340,105291385843968145,t9_ch_shotgun_pump_t9_kill_detected_stunned_blinded,4,,,,,,,,,,,,,,
20,28261340,,,4,,,,,,,,,,,,,,,,,,
21,31878159,,,5,,,,,,,,,,,,,,,,,,
22,29683688,,,5,,,,,,,,,,,,,,,,,,
23,33485015,,,5,,,,,,,,,,,,,,,,,,
24,22065113,,,5,23535377|18397921|25224123|31100128|18001066,87653852918979746,t9_ch_shotgun_pump_t9_point_blank_kill,5,,,,,,,,,,,,,,
25,23988369,,,5,,,,,,,,,,,,,,,,,,
26,28956151,,,6,,,,,,,,,,,,,,,,,,
27,26225985,,,6,,,,,,,,,,,,,,,,,,
28,32935948,,,6,,,,,,,,,,,,,,,,,,
29,22913180,,,6,23653765|22095470|20988920|31772931|24198090,134020267000357860,t9_ch_shotgun_pump_t9_multikill_2,6,,,,,,,,,,,,,,
30,25914895,,,6,,,,,,,,,,,,,,,,,,
31,29370632,,,7,,,,,,,,,,,,,,,,,,
32,28863382,,,7,,,,,,,,,,,,,,,,,,
33,19685652,,,7,,,,,,,,,,,,,,,,,,
34,30372311,,,7,,,,,,,,,,,,,,,,,,
35,19531453,,,7,,,,,,,,,,,,,,,,,,
