0,29710047|29375731|26250361|19666426|29654173,140802092319023840,t9_ch_smg_capacity_t9_ekia,0,24789586,96069036694865670,t9_ch_smg_capacity_t9_challenges,0,25964668,142803580414786441,t9_ch_weapon_smg_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,32228095,,,1,,,,,,,,,,,,,,,,,,
2,29104024,,,1,,,,,,,,,,,,,,,,,,
3,31158371,,,1,,,,,,,,,,,,,,,,,,
4,28858904,,,1,31594152|23542415|23477270|30031101|20324157,86895824926325033,t9_ch_smg_capacity_t9_headshots,1,,,,,,,,,,,,,,
5,20184822,,,1,,,,,,,,,,,,,,,,,,
6,32116749,,,2,,,,,,,,,,,,,,,,,,
7,33298576,,,2,,,,,,,,,,,,,,,,,,
8,18459205,,,2,,,,,,,,,,,,,,,,,,
9,26959047,,,2,21439311|30435817|30212815|23437373|22289858,103426668802345242,t9_ch_smg_capacity_t9_killstreak_5,2,,,,,,,,,,,,,,
10,31255114,,,2,,,,,,,,,,,,,,,,,,
11,33548192,,,3,,,,,,,,,,,,,,,,,,
12,28494117,,,3,,,,,,,,,,,,,,,,,,
13,31243972,,,3,,,,,,,,,,,,,,,,,,
14,33313273,,,3,,,,,,,,,,,,,,,,,,
15,23581570,,,3,,,,,,,,,,,,,,,,,,
16,24666138,,,4,,,,,,,,,,,,,,,,,,
17,28823950,,,4,,,,,,,,,,,,,,,,,,
18,26255906,,,4,,,,,,,,,,,,,,,,,,
19,21859959,,,4,22811969|29655505|31995450|30435636|19894679,88997254237637470,t9_ch_smg_capacity_t9_longshot_kill,4,,,,,,,,,,,,,,
20,31706749,,,4,,,,,,,,,,,,,,,,,,
21,18547030,,,5,,,,,,,,,,,,,,,,,,
22,30618838,,,5,,,,,,,,,,,,,,,,,,
23,21686226,,,5,,,,,,,,,,,,,,,,,,
24,19109342,,,5,,,,,,,,,,,,,,,,,,
25,25202503,,,5,,,,,,,,,,,,,,,,,,
26,26942481,,,6,,,,,,,,,,,,,,,,,,
27,28026718,,,6,,,,,,,,,,,,,,,,,,
28,21200943,,,6,,,,,,,,,,,,,,,,,,
29,23565667,,,6,24109166|31505095|18966774|25348827|30403437,132473732497787679,t9_ch_smg_capacity_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,22071068,,,6,,,,,,,,,,,,,,,,,,
31,31518296,,,7,,,,,,,,,,,,,,,,,,
32,30244961,,,7,,,,,,,,,,,,,,,,,,
33,33418292,,,7,,,,,,,,,,,,,,,,,,
34,32977726,,,7,,,,,,,,,,,,,,,,,,
35,27596064,,,7,,,,,,,,,,,,,,,,,,
36,19084506,,,8,,,,,,,,,,,,,,,,,,
37,19008599,,,8,,,,,,,,,,,,,,,,,,
38,33372353,,,8,,,,,,,,,,,,,,,,,,
39,31188082,,,8,25456829|33465317|18798794|20425939|32150655,72591387296213984,t9_ch_smg_capacity_t9_point_blank_kill,8,,,,,,,,,,,,,,
40,29386429,,,8,,,,,,,,,,,,,,,,,,
41,17922197,,,9,,,,,,,,,,,,,,,,,,
42,25622740,,,9,,,,,,,,,,,,,,,,,,
43,24337964,,,9,,,,,,,,,,,,,,,,,,
44,33233650,,,9,,,,,,,,,,,,,,,,,,
45,26468866,,,9,,,,,,,,,,,,,,,,,,
46,23324938,,,10,,,,,,,,,,,,,,,,,,
47,26663846,,,10,,,,,,,,,,,,,,,,,,
48,23109969,,,10,,,,,,,,,,,,,,,,,,
49,27963823,,,10,30221324|23915636|21422081|32401812|19071779,119227102834066505,t9_ch_smg_capacity_t9_multikill_2,10,,,,,,,,,,,,,,
50,23667657,,,10,,,,,,,,,,,,,,,,,,
51,30754347,,,11,,,,,,,,,,,,,,,,,,
52,26172895,,,11,,,,,,,,,,,,,,,,,,
53,24817802,,,11,,,,,,,,,,,,,,,,,,
54,21902296,,,11,,,,,,,,,,,,,,,,,,
