0,26178894|33021593|31751704|25386612|30306475,94819854379993884,t9_ch_tr_powerburst_t9_ekia,0,22151273,138494683831787772,t9_ch_tr_powerburst_t9_challenges,0,25964668,142803580414786441,t9_ch_weapon_smg_challenges_completed,0,27899082,111628225257849835,t9_ch_global_weapons_mastery,0,,,,,0,
1,23363239,,,1,,,,,,,,,,,,,,,,,,
2,24914763,,,1,,,,,,,,,,,,,,,,,,
3,27298178,,,1,,,,,,,,,,,,,,,,,,
4,26290208,,,1,30250940|30819839|23432440|31302821|29342051,83873588011984769,t9_ch_tr_powerburst_t9_headshots,1,,,,,,,,,,,,,,
5,30747371,,,1,,,,,,,,,,,,,,,,,,
6,19839314,,,2,,,,,,,,,,,,,,,,,,
7,30868822,,,2,,,,,,,,,,,,,,,,,,
8,20863129,,,2,,,,,,,,,,,,,,,,,,
9,24257234,,,2,29642961|31137889|28187985|22401408|21644139,131795523914403776,t9_ch_tr_powerburst_t9_killstreak_5,2,,,,,,,,,,,,,,
10,24251299,,,2,,,,,,,,,,,,,,,,,,
11,20978249,,,3,,,,,,,,,,,,,,,,,,
12,29918942,,,3,,,,,,,,,,,,,,,,,,
13,32769776,,,3,,,,,,,,,,,,,,,,,,
14,18182580,,,3,,,,,,,,,,,,,,,,,,
15,31807040,,,3,,,,,,,,,,,,,,,,,,
16,25515205,,,4,,,,,,,,,,,,,,,,,,
17,29840139,,,4,,,,,,,,,,,,,,,,,,
18,26927503,,,4,,,,,,,,,,,,,,,,,,
19,19535647,,,4,33379132|30282939|28801021|24439832|27928684,115494750660724174,t9_ch_tr_powerburst_t9_longshot_kill,4,,,,,,,,,,,,,,
20,28678856,,,4,,,,,,,,,,,,,,,,,,
21,27815928,,,5,,,,,,,,,,,,,,,,,,
22,19396252,,,5,,,,,,,,,,,,,,,,,,
23,31355150,,,5,,,,,,,,,,,,,,,,,,
24,32969053,,,5,,,,,,,,,,,,,,,,,,
25,25313596,,,5,,,,,,,,,,,,,,,,,,
26,19933103,,,6,,,,,,,,,,,,,,,,,,
27,25894788,,,6,,,,,,,,,,,,,,,,,,
28,19553238,,,6,,,,,,,,,,,,,,,,,,
29,32534633,,,6,28893101|19714020|20117823|19929588|30077811,109910262311241430,t9_ch_tr_powerburst_t9_kill_detected_stunned_blinded,6,,,,,,,,,,,,,,
30,28006639,,,6,,,,,,,,,,,,,,,,,,
31,23702817,,,7,,,,,,,,,,,,,,,,,,
32,26359747,,,7,,,,,,,,,,,,,,,,,,
33,18058193,,,7,,,,,,,,,,,,,,,,,,
34,21729507,,,7,,,,,,,,,,,,,,,,,,
35,33212566,,,7,,,,,,,,,,,,,,,,,,
36,20692101,,,8,,,,,,,,,,,,,,,,,,
37,27029275,,,8,,,,,,,,,,,,,,,,,,
38,32247873,,,8,,,,,,,,,,,,,,,,,,
39,28771199,,,8,30338071|19856921|25317361|19806840|18418095,99249332035140680,t9_ch_tr_powerburst_t9_kill_enemy_taking_cover_from_you,8,,,,,,,,,,,,,,
40,22374338,,,8,,,,,,,,,,,,,,,,,,
41,24538874,,,9,,,,,,,,,,,,,,,,,,
42,25954709,,,9,,,,,,,,,,,,,,,,,,
43,19791499,,,9,,,,,,,,,,,,,,,,,,
44,19817753,,,9,,,,,,,,,,,,,,,,,,
45,31813029,,,9,,,,,,,,,,,,,,,,,,
46,28862528,,,10,,,,,,,,,,,,,,,,,,
47,30456320,,,10,,,,,,,,,,,,,,,,,,
48,32466169,,,10,,,,,,,,,,,,,,,,,,
49,29216684,,,10,21694100|29051109|24365848|19452686|31026806,121786533227729209,t9_ch_tr_powerburst_t9_multikill_2,10,,,,,,,,,,,,,,
50,24991072,,,10,,,,,,,,,,,,,,,,,,
51,18888332,,,11,,,,,,,,,,,,,,,,,,
52,29196428,,,11,,,,,,,,,,,,,,,,,,
53,18518830,,,11,,,,,,,,,,,,,,,,,,
54,27628476,,,11,,,,,,,,,,,,,,,,,,
