0,iw8_sn_alpha50_variant_0,iw8_sn_alpha50,,,,,,,,,,,,,,,WEAPON/SN_ALPHA50,ui_loot_weapon_sn_alpha50,
1,iw8_sn_alpha50_variant_1,iw8_sn_alpha50,iw8_sn_alpha50_mpv2,rec|1 front|1 back|1 mag|1 scope|1,,barmid|1,,,,,pistolgrip02|1,stocks|2,gunperk_marksman,,,,WEAPON/SN_ALPHA50_V2,ui_loot_weapon_sn_alpha50_v2,
2,iw8_sn_alpha50_variant_2,iw8_sn_alpha50,,rec|2 mag|2,flashhider|2,barlong|1,,,vzscope|1,,pistolgrip01|1,stocks|1,,,,,WEAPON/SN_ALPHA50_V3,ui_loot_weapon_sn_alpha50_v3,
3,iw8_sn_alpha50_variant_3,iw8_sn_alpha50,,rec|3 front|3 back|3 mag|3 scope|2,flashhider|1,,,bipod|1,,,pistolgrip01|2,,ammomod_wound,,,,WEAPON/SN_ALPHA50_V4,ui_loot_weapon_sn_alpha50_v4,
4,iw8_sn_alpha50_variant_4,iw8_sn_alpha50,,rec|4 mag|4 scope|3,,barshort|1,,,,,pistolgrip01|3,stockl|1,,,,,WEAPON/SN_ALPHA50_V5,ui_loot_weapon_sn_alpha50_v5,
5,iw8_sn_alpha50_variant_5,iw8_sn_alpha50,,rec|5 mag|5,,barshort|2,,,acog|1,,pistolgrip01|4,stocks|3,flinch,,,,WEAPON/SN_ALPHA50_V6,ui_loot_weapon_sn_alpha50_v6,
6,iw8_sn_alpha50_variant_6,iw8_sn_alpha50,,rec|6 mag|6 scope|4,,barlong|2,,bipod|3,vzscope|4,,pistolgrip01|5,stockh|1,,,,,WEAPON/SN_ALPHA50_V7,ui_loot_weapon_sn_alpha50_v7,
7,iw8_sn_alpha50_variant_7,iw8_sn_alpha50,,rec|7  mag|7,brake|1,barshort|3,laserbalanced|5,,acog2|1,,,stocks|5,,,,,WEAPON/SN_ALPHA50_V8,ui_loot_weapon_sn_alpha50_v8,
8,iw8_sn_alpha50_variant_8,iw8_sn_alpha50,iw8_sn_alpha50_mpv2,rec|8 mag|8,,barmid|2,laserbalanced|3,,vzscope|5,,pistolgrip02|2,stockh|2,,,,,WEAPON/SN_ALPHA50_V9,ui_loot_weapon_sn_alpha50_v9,
9,iw8_sn_alpha50_variant_9,iw8_sn_alpha50,,rec|9 scope|6,silencer3|1,,laserbalanced|4,,,xmags|1,,stocks|4,flinch,,,,WEAPON/SN_ALPHA50_V10,ui_loot_weapon_sn_alpha50_v10,
10,iw8_sn_alpha50_variant_10,iw8_sn_alpha50,,rec|10 mag|10,silencer|1,barlong|3,,bipod|4,thermal|1,,,stockh|3,,,,,WEAPON/SN_ALPHA50_V11,ui_loot_weapon_sn_alpha50_v11,
11,iw8_sn_alpha50_variant_11,iw8_sn_alpha50,,rec|11,,barshort|4,laserbalanced|6,,vzscope|7,xmagslrg|1,,stockh|4,,,,,WEAPON/SN_ALPHA50_V12,ui_loot_weapon_sn_alpha50_v12,
12,iw8_sn_alpha50_variant_12,iw8_sn_alpha50,,rec|12 front|12 back|12 mag|12 scope|7,,barshort|5,,,,,pistolgrip02|3,stockl|2,fastreload,,,,WEAPON/SN_ALPHA50_V13,ui_loot_weapon_sn_alpha50_v13,
13,iw8_sn_alpha50_variant_13,iw8_sn_alpha50,,rec|13 front|13 back|13 mag|13 scope|8,silencer3|2,barlong|4,laserbalanced|7,,,,,stocks|6,fastreload,,,,WEAPON/SN_ALPHA50_V14,ui_loot_weapon_sn_alpha50_v14,
14,iw8_sn_alpha50_variant_14,iw8_sn_alpha50,,rec|14 front|14 back|14 mag|14 scope|9,silencer3|3,barlong|5,laserbalanced|8,,,,,stocks|7,,,,,WEAPON/SN_ALPHA50_V15,ui_loot_weapon_sn_alpha50_v15,
15,iw8_sn_alpha50_variant_15,iw8_sn_alpha50,iw8_sn_alpha50_mpv2,rec|15 front|15 back|15 mag|15 scope|10,,,laserbalanced|9,,acog3|2,,pistolgrip02|4,,flinch,,,,WEAPON/SN_ALPHA50_V16,ui_loot_weapon_sn_alpha50_v16,
16,iw8_sn_alpha50_variant_16,iw8_sn_alpha50,iw8_sn_alpha50_mpv2a,rec|0 front|0 back|0 mag|0 scope|0,,barmid|3,,,vzscope|10,xmags|2,,,,,,,WEAPON/SN_ALPHA50_V17,ui_loot_weapon_sn_alpha50_v17,
