0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1029124,,,1,2029000,,,1,2029001|2029002|2029003|2029004|2029005|2029006|2029007|2029008|2029009,1311,ch_gs_sn_sbeta_camo_01b,1,,,,,,,,,,,,,
2,1029014,,,1,,,,,,,,,,,,,,,,,,,,,
3,1029133,,,1,,,,,,,,,,,,,,,,,,,,,
4,1029015,,,1,,,,,,,,,,,,,,,,,,,,,
5,1029049,,,1,,,,,,,,,,,,,,,,,,,,,
6,1029034,,,2,2029010,,,2,2029011|2029012|2029013|2029014|2029015|2029016|2029017|2029018|2029019,1312,ch_gs_sn_sbeta_camo_02b,2,,,,,,,,,,,,,
7,1029008,,,2,,,,,,,,,,,,,,,,,,,,,
8,1029107,,,2,7029000,,,2,,,,,,,,,,,,,,,,,
9,1029073,,,2,,,,,,,,,,,,,,,,,,,,,
10,1029170,,,2,,,,,,,,,,,,,,,,,,,,,
11,1029084,,,3,2029020,,,3,2029021|2029022|2029023|2029024|2029025|2029026|2029027|2029028|2029029,1313,ch_gs_sn_sbeta_camo_03b,3,,,,,,,,,,,,,
12,1029150,,,3,,,,,,,,,,,,,,,,,,,,,
13,1029169,,,3,,,,,,,,,,,,,,,,,,,,,
14,1029141,,,3,,,,,,,,,,,,,,,,,,,,,
15,1029013,,,3,,,,,,,,,,,,,,,,,,,,,
16,1029085,,,4,2029030,,,4,2029031|2029032|2029033|2029034|2029035|2029036|2029037|2029038|2029039,1314,ch_gs_sn_sbeta_camo_04b,4,,,,,,,,,,,,,
17,1029004,,,4,,,,,,,,,,,,,,,,,,,,,
18,1029063,,,4,,,,,,,,,,,,,,,,,,,,,
19,1029110,,,4,,,,,,,,,,,,,,,,,,,,,
20,1029002,,,4,,,,,,,,,,,,,,,,,,,,,
21,1029072,,,5,2029040,,,5,2029041|2029042|2029043|2029044|2029045|2029046|2029047|2029048|2029049,1315,ch_gs_sn_sbeta_camo_05b,5,,,,,,,,,,,,,
22,1029019,,,5,7029001,,,5,,,,,,,,,,,,,,,,,
23,1029108,,,5,,,,,,,,,,,,,,,,,,,,,
24,1029095,,,5,,,,,,,,,,,,,,,,,,,,,
25,1029059,,,5,,,,,,,,,,,,,,,,,,,,,
26,1029023,,,6,,,,,,,,,,,,,,,,,,,,,
27,1029035,,,6,2029050,,,6,2029051|2029052|2029053|2029054|2029055|2029056|2029057|2029058|2029059,1316,ch_gs_sn_sbeta_camo_06b,6,,,,,,,,,,,,,
28,1029134,,,6,,,,,,,,,,,,,,,,,,,,,
29,1029012,,,6,,,,,,,,,,,,,,,,,,,,,
30,1029149,,,6,,,,,,,,,,,,,,,,,,,,,
31,1029083,,,7,,,,,,,,,,,,,,,,,,,,,
32,1029060,,,7,2029060,,,7,2029061|2029062|2029063|2029064|2029065|2029066|2029067|2029068|2029069,1317,ch_gs_sn_sbeta_camo_07b,7,,,,,,,,,,,,,
33,1029006,,,7,,,,,,,,,,,,,,,,,,,,,
34,1029128,,,7,7029002,,,7,,,,,,,,,,,,,,,,,
35,1029071,,,7,,,,,,,,,,,,,,,,,,,,,
36,1029017,,,8,,,,,,,,,,,,,,,,,,,,,
37,1029119,,,8,,,,,,,,,,,,,,,,,,,,,
38,1029056,,,8,2029070,,,8,2029071|2029072|2029073|2029074|2029075|2029076|2029077|2029078|2029079,1318,ch_gs_sn_sbeta_camo_08b,8,,,,,,,,,,,,,
39,1029010,,,8,,,,,,,,,,,,,,,,,,,,,
40,1029036,,,8,,,,,,,,,,,,,,,,,,,,,
41,1029027,,,9,,,,,,,,,,,,,,,,,,,,,
42,1029135,,,9,,,,,,,,,,,,,,,,,,,,,
43,1029000,,,9,2029080,,,9,2029081|2029082|2029083|2029084|2029085|2029086|2029087|2029088|2029089,1319,ch_gs_sn_sbeta_camo_09b,9,,,,,,,,,,,,,
44,1029148,,,9,,,,,,,,,,,,,,,,,,,,,
45,1029020,,,9,,,,,,,,,,,,,,,,,,,,,
46,1029058,,,10,,,,,,,,,,,,,,,,,,,,,
47,1029025,,,10,7029003,,,10,,,,,,,,,,,,,,,,,
48,1029139,,,10,,,,,,,,,,,,,,,,,,,,,
49,1029033,,,10,2029090,,,10,2029091|2029092|2029093|2029094|2029095|2029096|2029097|2029098|2029099,1320,ch_gs_sn_sbeta_camo_10b,10,2029100,1651,iw8_sn_sbeta_gold_camo,10,2029101,1689,iw8_sn_sbeta_diamond_camo,10,2029102,1727,iw8_sn_sbeta_black_camo,10,
-1,2029118,9045,ch_gs_sn_sbeta_camo_11d,10,,,,,,,,,,,,,,,,,,,,,
