a0,b1,
1,specialty_fastsprintrecovery,
2,specialty_fastreload,
3,specialty_lightweight,
4,specialty_marathon,
5,specialty_stalker,
6,specialty_pitcher,
7,specialty_sprintreload,
8,specialty_quickswap,
9,specialty_bulletaccuracy,
10,specialty_quickdraw,
11,specialty_silentkill,
12,specialty_blindeye,
13,specialty_gpsjammer,
14,specialty_quieter,
15,specialty_incog,
16,specialty_paint,
17,specialty_scavenger,
18,specialty_detectexplosive,
19,specialty_selectivehearing,
20,specialty_comexp,
21,specialty_falldamage,
22,specialty_regenfaster,
23,specialty_reduced_sway,
24,specialty_stun_resistance,
25,specialty_blastshield,
26,specialty_extra_equipment,
27,specialty_extra_deadly,
28,specialty_extraammo,
29,specialty_extra_attachment,
30,specialty_explosivedamage,
31,specialty_gambler,
32,specialty_hardline,
33,specialty_twoprimaries,
34,specialty_boom,
35,specialty_deadeye,
36,specialty_chain_reaction,
