0,100001,350004,350000,20,8,9,37,39,34,1,27,4,24,21,20030,20031,50000,50003,50008,50010,280010,280019,70009,70013,70012,70018,60000,60012,60010,60009,60016,60015,31,
1,100002,350001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100003,350002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100004,350003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,100005,70023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,100006,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100007,50002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,100008,60006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,100009,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100010,280017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100011,60007,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,100012,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,100013,60005,70027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,100014,50009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,100015,70003,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,100016,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,100017,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,100018,60004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100019,280012,410004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,100020,70029,50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,100021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,100022,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,100023,70017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,100024,40,60008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,100025,50005,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,100026,60002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,100027,280015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,100028,17,70001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,100029,60011,350011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,100030,280009,50015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,100031,35,70019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,100032,50001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,100033,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,100034,60003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,100035,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,100036,70011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,100037,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,100038,50013,60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,100039,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,100040,280018,50004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,100041,70031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100042,60017,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,100043,50007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,100044,23,70006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,100045,70015,350012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,100046,280011,410005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,100047,22,50011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,100048,70004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,100049,60018,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,100050,50012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,100051,70028,60013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,100052,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,100053,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,100054,50006,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,100055,70025,280021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
