0,100001,23955446,27401872,30597870,25131087,20177499,29293758,350004,350000,20,8,9,37,39,34,1,27,4,24,21,20030,20031,50000,50003,50008,50010,280010,280019,70009,70013,70012,70018,60000,60012,60010,60009,60016,60015,31,
1,100002,23008673,350001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100003,20113052,350002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100004,30632051,19257346,28339207,31446037,33164193,21465925,33207244,22685878,29394022,24894728,32995262,19373206,19492373,350003,,,,,,,,,,,,,,,,,,,,,,,,,
4,100005,20675048,19557221,70023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,100006,23854196,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,100007,31370411,30096999,23645630,50002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,100008,24303088,23102798,60006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,100009,21713219,21803494,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100010,28596469,280017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,100011,32306450,23531351,60007,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,100012,23303015,19102714,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,100013,26730174,19475631,22995603,60005,70027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,100014,30597793,29027105,23485636,50009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,100015,25643785,25434761,70003,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,100016,21947399,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,100017,18279359,20542397,26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,100018,29026506,19495841,60004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,100019,30134784,18198121,280012,410004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,100020,29002428,31765797,30903753,70029,50014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,100021,20812342,25097239,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,100022,18048357,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,100023,32285514,22090625,28891672,70017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,100024,18539149,22520593,40,60008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,100025,18487391,26492443,50005,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,100026,28706273,26790078,60002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,100027,23995304,30382296,280015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,100028,27358830,17,70001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,100029,26006032,60011,350011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,100030,20965597,29096199,280009,50015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,100031,26513395,18296415,31665191,35,70019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,100032,19870595,26672051,50001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,100033,22386988,25070753,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,100034,19397753,60003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,100035,18949144,29832013,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,100036,28256440,26011609,70011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,100037,25555192,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,100038,30821463,28723158,50013,60001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,100039,20230388,17797428,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,100040,19961376,22416099,280018,50004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,100041,23185474,32540182,70031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100042,28981892,60017,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,100043,33149760,50007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,100044,19592561,22044761,23,70006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,100045,18748712,29906682,70015,350012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,100046,23949845,280011,410005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,100047,23444091,22,50011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,100048,18454591,20452046,70004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,100049,17840221,32018123,60018,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,100050,26134618,20030062,50012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,100051,33343023,23613744,70028,60013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,100052,29438698,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,100053,24103044,27664095,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,100054,26238292,21010750,50006,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,100055,27528491,70025,280021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
