Name,Secondary,FileSpec,
chat_mw2_in,,voicefutz\mw2in.LN.85.48000.all,
chat_mw2_loop,,voicefutz\mw2loop.LL.75.36000.all,
chat_mw2_out,,voicefutz\mw2out.LN.85.48000.all,
dummy_1,,,
frontend_test,,,
iw8_stealth_chat_in,,voicefutz\squelch_stealth_click_in.LN.85.48000.all,
iw8_stealth_chat_loop,,voicefutz\static_stealth_loop.LL.75.36000.all,
iw8_stealth_chat_out,,voicefutz\squelch_stealth_click_out.LN.85.48000.all,
match_countdown_tick,,user_interface\chyron\ui_chyron_text_type.LN.75.44100.all,
match_countdown_tick_in1,,user_interface\chyron\ui_chyron_text_type.LN.75.44100.all,
match_countdown_tick_in2,,user_interface\chyron\ui_chyron_text_type.LN.75.44100.all,
match_countdown_tick_in3,,user_interface\chyron\ui_chyron_text_type.LN.75.44100.all,
mp_experience_tick,,,
mp_killstreak_equip,,,
mp_killstreak_equip_done,,,
mp_prestige_purchase,,,
mus_music_mainmenu_loop_0,mus_music_mainmenu_loop_0_rear,gen_music\menu\mx_564_mainmenu_lp_a_lr.PL.75.44100.all,
mus_music_mainmenu_loop_0_rear,,gen_music\menu\mx_564_mainmenu_lp_a_sur.PL.75.44100.all,
mus_music_mainmenu_loop_1,mus_music_mainmenu_loop_1_rear,gen_music\menu\mx_565_mainmenu_lp_b_lr.PL.75.44100.all,
mus_music_mainmenu_loop_1_rear,,gen_music\menu\mx_565_mainmenu_lp_b_sur.PL.75.44100.all,
mus_music_mainmenu_loop_2,mus_music_mainmenu_loop_2_rear,gen_music\menu\mx_566_mainmenu_lp_c_lr.PL.75.44100.all,
mus_music_mainmenu_loop_2_rear,,gen_music\menu\mx_566_mainmenu_lp_c_sur.PL.75.44100.all,
mus_music_mainmenu_mp_loop_0,mus_music_mainmenu_mp_loop_0_rear,gen_music\menu\iw8_mp_menu_music_emb_finalmix_16bit_lr.PL.75.44100.all,
mus_music_mainmenu_mp_loop_0_rear,,gen_music\menu\iw8_mp_menu_music_emb_finalmix_16bit_sur.PL.75.44100.all,
music_challenge_factory,,,
music_mainmenu_cp_mw1,music_mainmenu_cp_mw1_lsrs,,
music_mainmenu_cp_mw1_lsrs,,,
music_mainmenu_cp_mw2,music_mainmenu_cp_mw2_lsrs,,
music_mainmenu_cp_mw2_lsrs,,,
music_opening,,,
null,,,
tabs_slide,,,
ui_audio_test,ui_audio_test_lsrs,user_interface\audio_test\ui_test_scene_lr.SN.100.44100.all,
ui_audio_test_lfe,ui_audio_test_sfx,user_interface\audio_test\ui_test_scene_lfe.LN.50.44100.all,
ui_audio_test_lsrs,ui_audio_test_lfe,user_interface\audio_test\ui_test_scene_lsrs.SN.100.44100.all,
ui_audio_test_music,ui_audio_test_vo_1,user_interface\audio_test\ui_test_scene_music_lr.SN.75.44100.all,
ui_audio_test_sfx,ui_audio_test_sfx_lsrs,user_interface\audio_test\ui_test_scene_sfx.SN.100.44100.all,
ui_audio_test_sfx_lsrs,ui_audio_test_music,user_interface\audio_test\ui_test_scene_sfx.SN.100.44100.all,
ui_blade_left_campaign,,user_interface\blades\iw8_blades_left_campaign_v1.LN.75.44100.all,
ui_blade_left_coop,,user_interface\blades\iw8_blades_left_coop_v1.LN.75.44100.all,
ui_blade_left_multiplayer,,user_interface\blades\iw8_blades_left_multiplayer_v1.LN.75.44100.all,
ui_blade_left_store,,user_interface\blades\iw8_blades_left_store_v1.LN.75.44100.all,
ui_blade_left_wz,,user_interface\blades\iw8_blades_left_wz_v1.LN.75.44100.all,
ui_blade_mode_select,,user_interface\blades\iw8_blades_game_mode_select_v1.LN.75.44100.all,
ui_blade_open_store,,user_interface\blades\iw8_blades_left_coop_v1.LN.75.44100.all,
ui_blade_right_campaign,,user_interface\blades\iw8_blades_right_campaign_v1.LN.75.44100.all,
ui_blade_right_coop,,user_interface\blades\iw8_blades_right_coop_v1.LN.75.44100.all,
ui_blade_right_multiplayer,,user_interface\blades\iw8_blades_right_multiplayer_v1.LN.75.44100.all,
ui_blade_right_store,,user_interface\blades\iw8_blades_right_store_v1.LN.75.44100.all,
ui_blade_right_wz,,user_interface\blades\iw8_blades_right_wz_v1.LN.75.44100.all,
ui_bp_window_appear,,user_interface\store\iw8_ui_window_appear_v1_01.LN.75.44100.all,
ui_character_slide,,,
ui_chyron_box_end,,user_interface\chyron\ui_chyron_box_end.LN.75.44100.all,
ui_chyron_box_lp,,user_interface\chyron\ui_chyron_box_lp.LL.75.44100.all,
ui_chyron_box_start,,user_interface\chyron\ui_chyron_box_start.LN.75.44100.all,
ui_chyron_off,,user_interface\chyron\ui_chyron_text_fade.LN.75.44100.all,
ui_chyron_text_type,,user_interface\chyron\ui_chyron_text_type.LN.75.44100.all,
ui_chyron_text_type_lp,,user_interface\chyron\ui_chyron_text_type.LL.75.44100.all,
