Name,Secondary,FileSpec,
dx_bra_cp1_escape_chopper_adjusting_course,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_alive,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_comms_online,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_connection_lost,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_heavy_fire,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_inbound,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_inbound,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_longitude,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_new_route,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_outbound,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_radio_static,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_signal_lost,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_tracking_location,SUBTITLE_BR/CHAR_CP1,,
dx_bra_cp1_escape_chopper_updated_heading,SUBTITLE_BR/CHAR_CP1,,
dx_bra_rubc_bunker_code_correct_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_correct_20,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_correct_30,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_correct_40,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_incorrect_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_incorrect_20,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_incorrect_30,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_noncode_correct_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_phone_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_phone_20,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_phone_30,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_code_phone_40,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_0_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_1_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_2_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_3_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_4_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_5_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_6_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_7_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_8_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_keypad_9_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_trench_phone_interact_10,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rubc_bunker_trench_phone_interact_20,SUBTITLE_BR/CHAR_RUBC,,
dx_bra_rutl_achieve_clusterstrike,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_achieve_radardrone,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_armor_tut_break_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_armor_tut_break_20,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_armor_tut_intro_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_armor_tut_intro_20,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_contracts,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_contracts,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_extract,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_extract,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_goal,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_goal_specific,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_goal_specific,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_goal_specific,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_loot,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_loot,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_objectives,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_objectives,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_steal,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_bink_steal,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_hold_area,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_hold_area,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_hold_area,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_kill_target,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_kill_target,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_kill_target,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_kill_target,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_kill_target,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_loot_chests,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_loot_chests,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_contract_loot_chests,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop_plural,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop_plural,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_airdrop_plural,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_bank,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_bank,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_bank,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_chopper,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_chopper,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_event_chopper,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_arrived,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_failed,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_failed,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_leaving,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_start_generic,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_start_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_start_win_lz,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_success_full,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_exfil_success_partial,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_extract_enabled,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_extract_enabled,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_25_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_50_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_75_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_90_perc_first,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_hvt_close,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_hvt_close,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_hvt_close,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_taken,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_taken,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lead_taken,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_lost,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_no_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_no_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_not_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_not_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_not_first_place,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_top_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_match_over_top_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_defend_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_defend_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_enemy,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_million_cash_deposited,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_million_cash_deposited,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_steal_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_overtime_steal_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_10,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_5,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_5,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_top_5,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_gamestate_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_nuke_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_nuke_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_bank_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_bank_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_buystation,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_buystation,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_contract_cancel,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_contract_cancel_act,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_contract_find,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_contract_inv,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_contract_loot,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_earn_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_earn_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_extract_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_extract_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_get_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_get_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_get_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bm_tut_loot_cash,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_boost_bmo,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_boost_bmo_short,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_boost_bmo_short,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_boost_line_intro,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_bounty_tag_accept,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_bounty_tag_success,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_bounty_tag_timedout,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_bounty_tag_update,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_team_bounty_tag_accept,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_team_bounty_tag_full_success,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_team_bounty_tag_partial_success,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_bounty_mission_team_bounty_tag_timedout,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_exfil,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win2,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win2,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win2,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_brquarry_win3,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_carepackage_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_carepackage_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_carepackage_inbound,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_circle_peak_achieve,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_circle_peak_enemy_use,SUBTITLE_BR/CHAR_RUTL,,
dx_bra_rutl_circle_peak_enemy_use,SUBTITLE_BR/CHAR_RUTL,,
