Name,Secondary,FileSpec,
amb_mp_nuke,amb_mp_nuke_lsrs,ambient\amb_mp_nuke_aftermath_lr.SL.75.36000.all,
amb_mp_nuke_lsrs,,ambient\amb_mp_nuke_aftermath_lsrs.SL.75.36000.all,
as_0_death,,vo_efforts\tb\male_npc_tb_death_01.SN.75.32000.all,
as_0_death,,vo_efforts\tb\male_npc_tb_death_02.SN.75.32000.all,
as_0_death,,vo_efforts\tb\male_npc_tb_death_03.SN.75.32000.all,
as_0_death,,vo_efforts\tb\male_npc_tb_death_04.SN.75.32000.all,
as_0_death,,vo_efforts\tb\male_npc_tb_death_05.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_death_06.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_death_07.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_death_08.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_death_09.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_death_10.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_01.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_02.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_03.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_04.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_05.SN.75.32000.all,
as_1_death,,vo_efforts\tb\male_npc_tb_pain_06.SN.75.32000.all,
bullet_small_auto_glass,,impacts\blt_impact_auto_glass01.LN.75.44100.all,
bullet_small_auto_glass,,impacts\blt_impact_auto_glass02.LN.75.44100.all,
bullet_small_auto_glass,,impacts\blt_impact_auto_glass03.LN.75.44100.all,
bullet_small_auto_glass,,impacts\blt_impact_auto_glass04.LN.75.44100.all,
car_alarm,,vehicles\iw8_car_alarm_lp.LL.75.48000.all,
car_alarm_off,,vehicles\veh_caralarm_01off_22k.LN.75.48000.all,
car_expl_debris,,explosions\car\explo_car_debris_mtl_glass_01.LN.75.48000.all,
car_expl_debris,,explosions\car\explo_car_debris_mtl_glass_02.LN.75.48000.all,
car_expl_debris,,explosions\car\explo_car_debris_mtl_glass_03.LN.75.48000.all,
car_expl_debris,,explosions\car\explo_car_debris_mtl_glass_04.LN.75.48000.all,
car_expl_debris,,explosions\car\explo_car_debris_mtl_glass_05.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_01.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_02.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_03.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_05.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_06.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_08.LN.75.48000.all,
car_expl_dist,car_expl_lfe,explosions\frag\frag_expl_med_dist_09.LN.75.48000.all,
car_expl_lfe,car_expl_debris,explosions\frag\frag_expl_lfe_01.LN.75.48000.all,
car_expl_lfe,car_expl_debris,explosions\frag\frag_expl_lfe_02.LN.75.48000.all,
car_expl_lfe,car_expl_debris,explosions\frag\frag_expl_lfe_03.LN.75.48000.all,
car_expl_lfe,car_expl_debris,explosions\frag\frag_expl_lfe_04.LN.75.48000.all,
car_expl_lfe,car_expl_debris,explosions\frag\frag_expl_lfe_05.LN.75.48000.all,
car_explode,car_expl_dist,explosions\car\explo_car_blast_01.LN.75.48000.all,
car_explode,car_expl_dist,explosions\car\explo_car_blast_02.LN.75.48000.all,
car_explode,car_expl_dist,explosions\car\explo_car_blast_03.LN.75.48000.all,
car_explode,car_expl_dist,explosions\car\explo_car_blast_04.LN.75.48000.all,
car_explode,car_expl_dist,explosions\car\explo_car_blast_05.LN.75.48000.all,
car_explode_police,car_explode_police_boom,explosions\exp_car_close_iw6_01.LN.75.48000.all,
car_explode_police,car_explode_police_boom,explosions\exp_car_close_iw6_02.LN.75.48000.all,
car_explode_police,car_explode_police_boom,explosions\exp_car_close_iw6_03.LN.75.48000.all,
car_explode_police_boom,car_explode_police_boom2,explosions\grenade_explode_layer2_01.LN.75.44100.all,
car_explode_police_boom,car_explode_police_boom2,explosions\grenade_explode_layer2_02.LN.75.44100.all,
car_explode_police_boom,car_explode_police_boom2,explosions\grenade_explode_layer2_03.LN.75.44100.all,
car_explode_police_boom,car_explode_police_boom2,explosions\grenade_explode_layer2_04.LN.75.44100.all,
car_explode_police_boom,car_explode_police_boom2,explosions\grenade_explode_layer2_05.LN.75.44100.all,
car_explode_police_boom2,car_explode_police_detail,explosions\grenade_explode_layer3_01.LN.75.44100.all,
car_explode_police_boom2,car_explode_police_detail,explosions\grenade_explode_layer3_01.LN.75.44100.all,
car_explode_police_boom2,car_explode_police_detail,explosions\grenade_explode_layer3_02.LN.75.44100.all,
car_explode_police_detail,police_siren_destroy,explosions\exp_metal_armor_detail01.LN.75.44100.all,
car_explode_police_detail,police_siren_destroy,explosions\exp_metal_armor_detail01.LN.75.44100.all,
