Name,Secondary,FileSpec,
rev_engine_1_npc,,vehicles\engine_type_1\volov_pv_444_mono.LL.75.48000.all,
veh_horn_mid_1812,,vehicles\horns\dlc\1812\horn_med_02_1812.LN.50.44100.all,
veh_horn_mid_baldmountain,,vehicles\horns\dlc\bald_mountain\horn_mid_02_baldmtn.LN.50.44100.all,
veh_horn_mid_charge,,vehicles\horns\dlc\charge\horn_mid_01_charge.LN.50.44100.all,
veh_horn_mid_lacucaracha,,vehicles\horns\dlc\lacucaracha\horn_mid_02_lacucaracha.LN.50.44100.all,
veh_horn_mid_mars,,vehicles\horns\dlc\mars\horn_mid_01_mars_01.LN.50.44100.all,
veh_horn_mid_mountainking,,vehicles\horns\dlc\mountain_king\horn_mid_03_mountainking_01.LN.50.44100.all,
veh_horn_mid_stars,,vehicles\horns\dlc\stars_and_stripes\horn_med_02_starsandstripes_01.LN.50.44100.all,
veh_horn_mid_symphonyno5,,vehicles\horns\dlc\symphony_no5\horn_mid_02_beethoven5_01.LN.50.44100.all,
veh_horn_mid_toccata,,vehicles\horns\dlc\toccata_and_fugue\horn_mid_03_toccata.LN.50.44100.all,
veh_horn_mid_valkyries,,vehicles\horns\dlc\valkyries\horn_mid_02_valkyries.LN.50.44100.all,
