Name,Secondary,FileSpec,
veh_ks_wilson_engine_high,,mp\killstreaks\wilson\iw8_mp_ks_wilson_idle_lp.LL.75.48000.all,
veh_ks_wilson_engine_low,,mp\killstreaks\wilson\iw8_mp_ks_wilson_idle_lp.LL.75.48000.all,
veh_ks_wilson_idle_high,,mp\killstreaks\wilson\iw8_mp_ks_wilson_idle_lp.LL.75.48000.all,
veh_ks_wilson_idle_low,,mp\killstreaks\wilson\iw8_mp_ks_wilson_idle_lp.LL.75.48000.all,
veh_wheelson_engine_lp,,mp\killstreaks\wilson\iw8_wheelson_engine_lp.LL.75.48000.all,
veh_wheelson_engine_start,veh_apc_dirt_skid,mp\killstreaks\wilson\iw8_wheelson_engine_start_1.LN.75.48000.all,
veh_wheelson_engine_start,veh_apc_dirt_skid,mp\killstreaks\wilson\iw8_wheelson_engine_start_2.LN.75.48000.all,
veh_wheelson_engine_start,veh_apc_dirt_skid,mp\killstreaks\wilson\iw8_wheelson_engine_start_3.LN.75.48000.all,
veh_wheelson_engine_start,veh_apc_dirt_skid,mp\killstreaks\wilson\iw8_wheelson_engine_start_4.LN.75.48000.all,
veh_wheelson_engine_stop,,mp\killstreaks\wilson\iw8_wheelson_engine_stop_1.LN.75.48000.all,
veh_wheelson_engine_stop,,mp\killstreaks\wilson\iw8_wheelson_engine_stop_2.LN.75.48000.all,
veh_wheelson_engine_stop,,mp\killstreaks\wilson\iw8_wheelson_engine_stop_3.LN.75.48000.all,
veh_wheelson_engine_stop,,mp\killstreaks\wilson\iw8_wheelson_engine_stop_4.LN.75.48000.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_01.LN.75.44100.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_02.LN.75.44100.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_03.LN.75.44100.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_04.LN.75.44100.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_05.LN.75.44100.all,
weap_wheelson_fire_npc,weap_wheelson_fire_npc_mech,weapons\mama2\weap_mama2_fire_npc_06.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_01.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_02.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_03.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_04.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_05.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\exterior\hmg\weap_hmg_fire_npc_atmo_ext1_cls_06.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_01.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_02.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_03.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_04.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_05.LN.75.44100.all,
weap_wheelson_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_06.LN.75.44100.all,
weap_wheelson_fire_npc_dist,weap_wheelson_fire_npc_dist_atmo,weapons\mama2\weap_mama2_fire_npc_dist_01.LN.60.44100.all,
weap_wheelson_fire_npc_dist,weap_wheelson_fire_npc_dist_atmo,weapons\mama2\weap_mama2_fire_npc_dist_03.LN.60.44100.all,
