Name,Secondary,FileSpec,
weap_asierra12_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5a.LN.75.44100.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5b.LN.75.44100.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5c.LN.75.44100.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5d.LN.75.44100.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5e.LN.75.44100.all,
weap_asierra12_fire_npc,weap_asierra12_fire_npc_mech,weapons\iw8_asierra12\weap_ash12_fire_npc_m03b5f.LN.75.44100.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4a.LN.85.48000.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4b.LN.85.48000.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4c.LN.85.48000.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4d.LN.85.48000.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4e.LN.85.48000.all,
weap_asierra12_fire_npc_dist,weap_asierra12_fire_npc_dist_atmo,weapons\iw8_asierra12\weap_ash12_fire_npc_dist_m03a4f.LN.85.48000.all,
