Name,Secondary,FileSpec,
weap_mgolf36_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_01.LN.85.44100.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_02.LN.85.44100.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_03.LN.85.44100.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_04.LN.85.44100.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_05.LN.85.44100.all,
weap_mgolf36_fire_npc,weap_mgolf36_fire_npc_mech,weapons\mgolf36\weap_mgolf36_fire_npc_06.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_01.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_02.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_03.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_04.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_05.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_06.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_01.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_02.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_03.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_04.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_05.LN.85.44100.all,
weap_mgolf36_fire_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_06.LN.85.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_01.LN.75.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_02.LN.75.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_03.LN.75.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_04.LN.75.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_05.LN.75.44100.all,
weap_mgolf36_fire_npc_dist,weap_mgolf36_fire_npc_dist_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_dist_06.LN.75.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_01.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_02.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_03.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_04.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_05.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_06.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_01.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_02.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_03.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_04.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_05.LN.85.44100.all,
weap_mgolf36_fire_npc_dist_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_dist1_06.LN.85.44100.all,
weap_mgolf36_fire_npc_far,weap_mgolf36_fire_npc_far_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_far_01.LN.75.44100.all,
weap_mgolf36_fire_npc_far,weap_mgolf36_fire_npc_far_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_far_02.LN.75.44100.all,
weap_mgolf36_fire_npc_far,weap_mgolf36_fire_npc_far_atmo,weapons\mgolf36\weap_mgolf36_fire_npc_far_03.LN.75.44100.all,
