Name,Secondary,FileSpec,
mount_enter_side_mgolf36_vestlight_plr,,foley\mount\mount_enter_side_kilo433_vestlight_plr.LN.75.44100.all,
mount_enter_top_mgolf36_vestlight_plr,,foley\mount\mount_enter_top_kilo433_vestlight_plr.LN.75.44100.all,
mount_exit_side_mgolf36_vestlight_plr,,foley\mount\mount_exit_side_kilo433_vestlight_plr.LN.75.44100.all,
mount_exit_top_mgolf36_vestlight_plr,,foley\mount\mount_exit_top_kilo433_vestlight_plr.LN.75.44100.all,
weap_ar_mgolf36_ads_down,,reloads\iw8_kilo433\weap_ar_kilo433_ads_down.LN.75.44100.all,
weap_ar_mgolf36_ads_up,,reloads\iw8_kilo433\weap_ar_kilo433_ads_up.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_03.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_01.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_02.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_03.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_04.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_05.LN.85.48000.all,
