Name,Secondary,FileSpec,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_01.LN.85.44100.all,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_02.LN.85.44100.all,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_03.LN.85.44100.all,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_04.LN.85.44100.all,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_05.LN.85.44100.all,
weap_mike4_cal9_npc,weap_mike4_cal9_npc_mech,weapons\mike4_9\weap_mike4_cal9_npc_06.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_01.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_02.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_03.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_04.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_05.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls2_06.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_01.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_02.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_03.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_04.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_05.LN.85.44100.all,
weap_mike4_cal9_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_06.LN.85.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_01.LN.75.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_02.LN.75.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_03.LN.75.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_04.LN.75.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_05.LN.75.44100.all,
weap_mike4_cal9_npc_dist,weap_mike4_cal9_npc_dist_atmo,weapons\mike4_9\weap_mike4_cal9_npc_dist_06.LN.75.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_01.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_02.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_03.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_04.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_05.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist2_06.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_01.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_02.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_03.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_04.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_05.LN.85.44100.all,
weap_mike4_cal9_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_06.LN.85.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_01.LN.75.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_02.LN.75.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_03.LN.75.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_04.LN.75.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_05.LN.75.44100.all,
weap_mike4_cal9_npc_far,weap_mike4_cal9_npc_far_atmo,weapons\mike4_9\weap_mike4_cal9_npc_far_06.LN.75.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_01.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_02.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_03.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_04.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_05.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_far2_06.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_01.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_02.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_03.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_04.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_05.LN.85.44100.all,
weap_mike4_cal9_npc_far_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_far1_06.LN.85.44100.all,
weap_mike4_cal9_npc_lfe,,weapons\mike4_9\weap_mike4_cal9_plr_lfe.LN.100.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_01.LN.85.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_02.LN.85.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_03.LN.85.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_04.LN.85.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_05.LN.85.44100.all,
weap_mike4_cal9_npc_mech,weap_mike4_cal9_npc_lfe,weapons\mike4_9\weap_mike4_cal9_npc_mech_06.LN.85.44100.all,
weap_mike4_cal9_npc_med,weap_mike4_cal9_npc_med_atmo,weapons\mike4_9\weap_mike4_cal9_npc_med_01.LN.75.44100.all,
weap_mike4_cal9_npc_med,weap_mike4_cal9_npc_med_atmo,weapons\mike4_9\weap_mike4_cal9_npc_med_02.LN.75.44100.all,
weap_mike4_cal9_npc_med,weap_mike4_cal9_npc_med_atmo,weapons\mike4_9\weap_mike4_cal9_npc_med_03.LN.75.44100.all,
weap_mike4_cal9_npc_med,weap_mike4_cal9_npc_med_atmo,weapons\mike4_9\weap_mike4_cal9_npc_med_04.LN.75.44100.all,
weap_mike4_cal9_npc_med,weap_mike4_cal9_npc_med_atmo,weapons\mike4_9\weap_mike4_cal9_npc_med_05.LN.75.44100.all,
