Name,Secondary,FileSpec,
mount_enter_side_mike4_vestlight_plr,,foley\mount\mount_enter_side_mike4_vestlight_plr.LN.75.44100.all,
mount_enter_top_mike4_vestlight_plr,,foley\mount\mount_enter_top_mike4_vestlight_plr.LN.75.44100.all,
mount_exit_side_mike4_vestlight_plr,,foley\mount\mount_exit_side_mike4_vestlight_plr.LN.75.44100.all,
mount_exit_top_mike4_vestlight_plr,,foley\mount\mount_exit_top_mike4_vestlight_plr.LN.75.44100.all,
weap_ar_mike4_ads_down,,reloads\iw8_mike4\wfoly_ar_mike4_ads_down.LN.75.44100.all,
weap_ar_mike4_ads_up,,reloads\iw8_mike4\wfoly_ar_mike4_ads_up.LN.75.44100.all,
weap_ar_mike4_selector_off,,foley\selector\weap_ar_mike4_selector_off.LN.75.48000.all,
weap_ar_mike4_selector_on,,foley\selector\weap_ar_mike4_selector_on.LN.75.48000.all,
weap_m4_reload_gl_chamber_plr,vestgear_m4_reload_gl_chamber_plr,foley\wpfoly_mike4_reload_gl_chamber_v1.LN.75.44100.all,
weap_m4_reload_gl_end_plr,vestgear_m4_reload_gl_end_plr,foley\wpfoly_mike4_reload_gl_end_v1.LN.75.44100.all,
weap_m4_reload_gl_lift_plr,vestgear_m4_reload_gl_lift_plr,foley\wpfoly_mike4_reload_gl_lift_v1.LN.75.44100.all,
weap_m4_reload_gl_magin_plr,vestgear_m4_reload_gl_magin_plr,foley\wpfoly_mike4_reload_gl_magin_v1_01.LN.75.44100.all,
weap_m4_reload_gl_magin_plr_02,vestgear_m4_reload_gl_magin_plr,foley\wpfoly_mike4_reload_gl_magin_v1_02.LN.75.44100.all,
weap_m4_reload_gl_magout_plr,vestgear_m4_reload_gl_magout_plr,foley\wpfoly_mike4_reload_gl_magout_v1.LN.75.44100.all,
weap_m4_to_gl_plr,vestgear_m4_to_gl_plr,foley\wpfoly_mike4_to_gl_v1.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_03.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_01.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_02.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_03.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_04.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_05.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_06.LN.85.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_01.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_03.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_04.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_06.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_01.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_02.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_03.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_06.LN.75.48000.all,
weap_masterkey_fire_plr_lfe,,weapons\iw8_dpapa12\iw8_weap_dpapa12_fire_plr_lfe_01.LN.85.48000.all,
weap_masterkey_fire_plr_lfe,,weapons\iw8_dpapa12\iw8_weap_dpapa12_fire_plr_lfe_01.LN.85.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_01.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_02.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_03.LN.75.48000.all,
