Name,Secondary,FileSpec,
mount_enter_side_scharlie_vestlight_plr,,foley\mount\mount_enter_side_scharlie_vestlight_plr.LN.75.44100.all,
mount_enter_top_scharlie_vestlight_plr,,foley\mount\mount_enter_top_scharlie_vestlight_plr.LN.75.44100.all,
mount_exit_side_scharlie_vestlight_plr,,foley\mount\mount_exit_side_scharlie_vestlight_plr.LN.75.44100.all,
mount_exit_top_scharlie_vestlight_plr,,foley\mount\mount_exit_top_scharlie_vestlight_plr.LN.75.44100.all,
weap_ar_scharlie_ads_down,,reloads\iw8_scharlie\wfoly_ar_scharlie_ads_down.LN.75.44100.all,
weap_ar_scharlie_ads_up,,reloads\iw8_scharlie\wfoly_ar_scharlie_ads_up.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_03.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_masterkey_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_01.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_02.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_03.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_04.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_05.LN.85.48000.all,
weap_masterkey_fire_plr,weap_masterkey_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_06.LN.85.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_01.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_03.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_04.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\exterior\shotgun\weap_shotgun_fire_plr_atmo_ext1_06.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_01.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_02.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_03.LN.75.48000.all,
weap_masterkey_fire_plr_atmo,,weapons\atmo\interior\shotgun\weap_shotgun_fire_plr_atmo_int1_06.LN.75.48000.all,
weap_masterkey_fire_plr_lfe,,weapons\iw8_dpapa12\iw8_weap_dpapa12_fire_plr_lfe_01.LN.85.48000.all,
weap_masterkey_fire_plr_lfe,,weapons\iw8_dpapa12\iw8_weap_dpapa12_fire_plr_lfe_01.LN.85.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_01.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_02.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_03.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_04.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_05.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_06.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_01.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_02.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_03.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_04.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_05.LN.75.48000.all,
weap_masterkey_fire_plr_mech,weap_masterkey_fire_plr_lfe,weapons\romeo870\weap_romeo870_fire_plr_mech_ads_06.LN.75.48000.all,
weap_mike203_fire_plr,weap_mike203_fire_plr_mech,weapons\iw8_mike203\weap_mike203_fire_plr_01.HN.75.44100.all,
weap_mike203_fire_plr,weap_mike203_fire_plr_mech,weapons\iw8_mike203\weap_mike203_fire_plr_02.HN.75.44100.all,
weap_mike203_fire_plr,weap_mike203_fire_plr_mech,weapons\iw8_mike203\weap_mike203_fire_plr_03.HN.75.44100.all,
weap_mike203_fire_plr,weap_mike203_fire_plr_mech,weapons\iw8_mike203\weap_mike203_fire_plr_04.HN.75.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\exterior\launcher\weap_mike203_fire_plr_atmos_01.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\exterior\launcher\weap_mike203_fire_plr_atmos_02.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\exterior\launcher\weap_mike203_fire_plr_atmos_03.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\exterior\launcher\weap_mike203_fire_plr_atmos_04.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\interior\launcher\weap_mike203_fire_plr_atmos_int1_01.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\interior\launcher\weap_mike203_fire_plr_atmos_int1_02.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\interior\launcher\weap_mike203_fire_plr_atmos_int1_03.HN.85.44100.all,
weap_mike203_fire_plr_atmo,,weapons\atmo\interior\launcher\weap_mike203_fire_plr_atmos_int1_04.HN.85.44100.all,
weap_mike203_fire_plr_lfe,,weapons\iw8_mike203\weap_mike203_fire_plr_lfe_01.HN.100.44100.all,
weap_mike203_fire_plr_lfe,,weapons\iw8_mike203\weap_mike203_fire_plr_lfe_01.HN.100.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_01.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_02.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_03.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_04.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_01.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_02.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_03.HN.85.44100.all,
weap_mike203_fire_plr_mech,weap_mike203_fire_plr_lfe,weapons\iw8_mike203\weap_mike203_fire_plr_mech_04.HN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_01.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_02.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_03.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_04.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_05.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_06.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_01.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_02.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_03.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_04.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_05.LN.85.44100.all,
weap_scharlie_disconnector_plr,,weapons\scharlie\weap_scharlie_disconnector_plr_ads_06.LN.85.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_01.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_02.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_03.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_04.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_05.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_06.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_04.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_05.LN.75.44100.all,
weap_scharlie_dryfire_plr,,weapons\iw8_mike4\weap_mike4_deadtrigger_plr_ads_06.LN.75.44100.all,
weap_scharlie_selector_off,,foley\selector\weap_scharlie_selector_off.LN.75.48000.all,
weap_scharlie_selector_on,,foley\selector\weap_scharlie_selector_on.LN.75.48000.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_01.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_02.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_03.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_04.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_05.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_06.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_01.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_02.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_03.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_04.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_05.LN.85.44100.all,
weap_scharlie_sup_fire_first_plr,weap_scharlie_sup_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_06.LN.85.44100.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_01.HN.85.48000.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_02.HN.85.48000.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_03.HN.85.48000.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_04.HN.85.48000.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_05.HN.85.48000.all,
weap_scharlie_sup_last_fire_plr,weap_scharlie_sup_last_plr_mech,weapons\scharlie\weap_scharlie_sup_plr_06.HN.85.48000.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_01.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_02.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_03.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_04.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_05.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_06.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_01.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_02.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_03.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_04.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_05.LN.85.44100.all,
weap_scharlie_sup_last_plr,weap_scharlie_sup_last_fire_plr,weapons\scharlie\weap_scharlie_fire_first_plr_ads_06.LN.85.44100.all,
weap_scharlie_sup_last_plr_mech,weap_scharlie_sup_plr_lfe,weapons\scharlie\weap_scharlie_fire_last_plr_mech_01.HN.85.48000.all,
