Name,Secondary,FileSpec,
weap_mike32_fire_npc,weap_mike32_fire_npc_mech,weapons\iw8_mike203\weap_mike203_fire_npc_01.LN.85.44100.all,
weap_mike32_fire_npc,weap_mike32_fire_npc_mech,weapons\iw8_mike203\weap_mike203_fire_npc_02.LN.85.44100.all,
weap_mike32_fire_npc,weap_mike32_fire_npc_mech,weapons\iw8_mike203\weap_mike203_fire_npc_03.LN.85.44100.all,
weap_mike32_fire_npc,weap_mike32_fire_npc_mech,weapons\iw8_mike203\weap_mike203_fire_npc_04.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_01.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_02.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_03.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_mike203_fire_npc_atmo_ext_04.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_01.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_02.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_03.LN.85.44100.all,
weap_mike32_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_04.LN.85.44100.all,
weap_mike32_fire_npc_dist,weap_mike32_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_01.LN.75.44100.all,
weap_mike32_fire_npc_dist,weap_mike32_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_02.LN.75.44100.all,
weap_mike32_fire_npc_dist,weap_mike32_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_03.LN.75.44100.all,
weap_mike32_fire_npc_dist,weap_mike32_fire_npc_dist_atmo,weapons\iw8_mike203\weap_mike203_fire_npc_dist_04.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_01.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_02.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_03.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_04.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_05.LN.75.44100.all,
weap_mike32_fire_npc_far,weap_mike32_fire_npc_far_atmo,weapons\mike32\weap_mike32_fire_npc_far_06.LN.75.44100.all,
weap_mike32_fire_npc_lfe,,weapons\iw8_mike203\weap_mike203_fire_plr_lfe_01.LN.100.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_01.LN.85.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_02.LN.85.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_03.LN.85.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_04.LN.85.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_05.LN.85.44100.all,
weap_mike32_fire_npc_mech,weap_mike32_fire_npc_lfe,weapons\mike32\weap_mike32_fire_npc_mech_06.LN.85.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_01.LN.75.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_02.LN.75.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_03.LN.75.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_04.LN.75.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_05.LN.75.44100.all,
weap_mike32_fire_npc_med,weap_mike32_fire_npc_med_atmo,weapons\mike32\weap_mike32_fire_npc_med_06.LN.75.44100.all,
wfoly_npc_la_mike32_reload_01,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_open_01.LN.75.44100.all,
wfoly_npc_la_mike32_reload_02,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_start.LN.75.44100.all,
wfoly_npc_la_mike32_reload_03,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_smack.LN.75.44100.all,
wfoly_npc_la_mike32_reload_04,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_shellsout_01.LN.75.44100.all,
wfoly_npc_la_mike32_reload_05,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_grab.LN.75.44100.all,
wfoly_npc_la_mike32_reload_06,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_rattle.LN.75.44100.all,
wfoly_npc_la_mike32_reload_07,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_armup.LN.75.44100.all,
wfoly_npc_la_mike32_reload_08,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_shellsin_01.LN.75.44100.all,
wfoly_npc_la_mike32_reload_09,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_cylinder_01.LN.75.44100.all,
wfoly_npc_la_mike32_reload_10,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_armdown.LN.75.44100.all,
wfoly_npc_la_mike32_reload_11,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_grab2.LN.75.44100.all,
wfoly_npc_la_mike32_reload_12,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_close_01.LN.75.44100.all,
wfoly_npc_la_mike32_reload_13,,reloads\iw8_mike32\wfoly_plr_la_mike32_reload_end.LN.75.44100.all,
