Name,Secondary,FileSpec,
weap_rpapa7_fire_npc,weap_rpapa7_fire_npc_mech,weapons\rpapa7\weap_rpapa7_fire_npc_01.LN.85.44100.all,
weap_rpapa7_fire_npc,weap_rpapa7_fire_npc_mech,weapons\rpapa7\weap_rpapa7_fire_npc_02.LN.85.44100.all,
weap_rpapa7_fire_npc,weap_rpapa7_fire_npc_mech,weapons\rpapa7\weap_rpapa7_fire_npc_03.LN.85.44100.all,
weap_rpapa7_fire_npc,weap_rpapa7_fire_npc_mech,weapons\rpapa7\weap_rpapa7_fire_npc_04.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_atmo_01.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_atmo_02.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_atmo_03.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_atmo_04.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_01.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_02.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_03.LN.85.44100.all,
weap_rpapa7_fire_npc_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_atmo_int_04.LN.85.44100.all,
weap_rpapa7_fire_npc_dist,weap_rpapa7_fire_npc_dist_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_dist_01.LN.75.44100.all,
weap_rpapa7_fire_npc_dist,weap_rpapa7_fire_npc_dist_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_dist_02.LN.75.44100.all,
weap_rpapa7_fire_npc_dist,weap_rpapa7_fire_npc_dist_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_dist_03.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_dist_atmo_ext_01.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_dist_atmo_ext_02.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_dist_atmo_ext_03.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_dist_atmo_int_01.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_dist_atmo_int_02.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_dist_atmo_int_03.LN.75.44100.all,
weap_rpapa7_fire_npc_dist_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_dist_atmo_int_04.LN.75.44100.all,
weap_rpapa7_fire_npc_far,weap_rpapa7_fire_npc_far_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_far_01.LN.75.44100.all,
weap_rpapa7_fire_npc_far,weap_rpapa7_fire_npc_far_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_far_02.LN.75.44100.all,
weap_rpapa7_fire_npc_far,weap_rpapa7_fire_npc_far_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_far_03.LN.75.44100.all,
weap_rpapa7_fire_npc_far,weap_rpapa7_fire_npc_far_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_far_04.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_far_atmo_ext_01.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_far_atmo_ext_02.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_far_atmo_ext_03.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_far_atmo_int_01.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_far_atmo_int_02.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_far_atmo_int_03.LN.75.44100.all,
weap_rpapa7_fire_npc_far_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_far_atmo_int_04.LN.75.44100.all,
weap_rpapa7_fire_npc_lfe,,weapons\lockon\weap_lockon_fire_plr_lfe.LN.100.44100.all,
weap_rpapa7_fire_npc_mech,weap_rpapa7_fire_npc_lfe,weapons\rpapa7\weap_rpapa7_fire_plr_mech_01.LN.85.44100.all,
weap_rpapa7_fire_npc_med,weap_rpapa7_fire_npc_med_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_med_01.LN.75.44100.all,
weap_rpapa7_fire_npc_med,weap_rpapa7_fire_npc_med_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_med_02.LN.75.44100.all,
weap_rpapa7_fire_npc_med,weap_rpapa7_fire_npc_med_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_med_03.LN.75.44100.all,
weap_rpapa7_fire_npc_med,weap_rpapa7_fire_npc_med_atmo,weapons\rpapa7\weap_rpapa7_fire_npc_med_04.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_med_atmo_ext_01.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_med_atmo_ext_02.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\exterior\launcher\weap_rpapa7_fire_npc_med_atmo_ext_03.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_med_atmo_int_01.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_med_atmo_int_02.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_med_atmo_int_03.LN.75.44100.all,
weap_rpapa7_fire_npc_med_atmo,,weapons\atmo_npc\interior\launcher\weap_mike203_fire_npc_med_atmo_int_04.LN.75.44100.all,
wfoly_npc_la_rpap7_reload_01,,reloads\iw8_rpapa7\wfoly_la_rpapa7_reload_raise.LN.75.44100.all,
wfoly_npc_la_rpap7_reload_02,,reloads\iw8_rpapa7\wfoly_la_rpapa7_reload_load.LN.75.44100.all,
wfoly_npc_la_rpap7_reload_03,,reloads\iw8_rpapa7\wfoly_la_rpapa7_reload_lower.LN.75.44100.all,
wfoly_npc_la_rpap7_reload_04,,reloads\iw8_rpapa7\wfoly_la_rpapa7_reload_end.LN.75.44100.all,
