Name,Secondary,FileSpec,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_01.HN.85.44100.all,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_02.HN.85.44100.all,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_03.HN.85.44100.all,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_04.HN.85.44100.all,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_05.HN.85.44100.all,
weap_dblmg_fire_plr,weap_dblmg_fire_plr_lfe,weapons\iw8_kilo121\weap_kilo121_fire_plr_06.HN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_01.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_02.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_03.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_04.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_05.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\exterior\lmg\weap_lmg_fire_plr_atmo_ext1_06.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_01.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_02.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_03.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_04.LN.85.44100.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_dblmg_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_06.LN.85.48000.all,
weap_dblmg_fire_plr_lfe,,weapons\iw8_kilo121\weap_kilo121_fire_plr_lfe.HN.100.44100.all,
weap_dblmg_fire_plr_lfe,,weapons\iw8_kilo121\weap_kilo121_fire_plr_lfe.HN.100.44100.all,
weap_dblmg_spindown_plr,,weapons\dblmg\weap_dblmg_spindown_plr_01.LN.75.44100.all,
weap_dblmg_spinloop_plr,,weapons\dblmg\weap_dblmg_spinloop_plr.LL.75.44100.all,
weap_dblmg_spinup_plr,,weapons\dblmg\weap_dblmg_spinup_plr_01.LN.75.44100.all,
weap_lm_dblmg_ads_down,,reloads\iw8_kilo121\weap_lm_minigun_ads_down.LN.75.44100.all,
weap_lm_dblmg_ads_up,,reloads\iw8_kilo121\weap_lm_minigun_ads_up.LN.75.44100.all,
wfoly_plr_lm_dblmg_inspect_01,,reloads\iw8_dblmg\wfoly_lm_dblmg_inspect_01.LN.75.44100.all,
wfoly_plr_lm_dblmg_inspect_02,,reloads\iw8_dblmg\wfoly_lm_dblmg_inspect_02.LN.75.44100.all,
wfoly_plr_lm_dblmg_inspect_03,,reloads\iw8_dblmg\wfoly_lm_dblmg_inspect_03.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_01,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_start.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_02,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_belt_out.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_03,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_belt_in.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_04,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_end.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_fast_01,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_start.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_fast_02,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_belt_out.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_fast_03,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_fast_belt_in.LN.75.44100.all,
wfoly_plr_lm_dblmg_reload_fast_04,,reloads\iw8_dblmg\wfoly_plr_lm_minigun_reload_end.LN.75.44100.all,
