Name,Secondary,FileSpec,
weap_lima86_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_lima86_fire_npc,weap_lima86_fire_npc_mech,weapons\iw8_lima86\weap_l86_fire_npc_m01b1a.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1a.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1b.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1c.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1d.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1e.LN.85.44100.all,
weap_lima86_fire_npc_dist,weap_lima86_fire_npc_dist_atmo,weapons\iw8_lima86\weap_l86_fire_npc_dist_m01b1f.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1a.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1b.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1c.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1d.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1e.LN.85.44100.all,
weap_lima86_fire_npc_far,weap_lima86_fire_npc_far_atmo,weapons\iw8_lima86\weap_l86_fire_npc_far_m01b1f.LN.85.44100.all,
