Name,Secondary,FileSpec,
weap_pkilo_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_pkilo_dryfirst_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all,
weap_pkilo_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_01.LN.85.44100.all,
weap_pkilo_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_02.LN.75.44100.all,
weap_pkilo_prefire_npc,,weapons\pkilo\weap_pkilo_prefire_npc_03.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_01.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_02.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_03.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_04.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_05.LN.75.44100.all,
weap_pkilo_sup_npc,weap_pkilo_sup_npc_mech,weapons\scharlie\weap_scharlie_sup_npc_06.LN.75.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_01.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_02.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_03.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_04.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_05.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\exterior\dmr_sup\weap_dmrsup_fire_npc_atmo_ext1_06.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_01.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_02.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_03.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_04.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_05.LN.85.44100.all,
weap_pkilo_sup_npc_atmo,,weapons\atmo_npc\interior\ar\weap_ar_fire_npc_atmo_int_cls1_06.LN.85.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_01.LN.75.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_02.LN.75.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_03.LN.75.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_04.LN.75.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_05.LN.75.44100.all,
weap_pkilo_sup_npc_far,weap_pkilo_sup_npc_far_atmo,weapons\iw8_mike4\weap_mike4_sup_npc_far_06.LN.75.44100.all,
weap_pkilo_sup_npc_lfe,,weapons\pkilo\weap_pkilo_fire_plr_lfe.LN.75.44100.all,
