Name,Secondary,FileSpec,
weap_sierrax_dryfire_npc,,weapons\weap_dryfire_rifle.LN.75.36000.all,
weap_sierrax_dryfirst_npc,,weapons\iw8_kilo121\weap_kilo121_prefire_npc_01.LN.85.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_01.LN.85.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_02.LN.75.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_03.LN.75.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_04.LN.75.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_05.LN.75.44100.all,
weap_sierrax_fire_npc,weap_sierrax_fire_npc_mech,weapons\sierrax\weap_sierrax_fire_npc_06.LN.75.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_01.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_02.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_03.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_04.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_05.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_cls1_06.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_01.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_02.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_03.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_04.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_05.LN.85.44100.all,
weap_sierrax_fire_npc_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_cls1_06.LN.85.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_01.LN.75.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_02.LN.75.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_03.LN.75.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_04.LN.75.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_05.LN.75.44100.all,
weap_sierrax_fire_npc_dist,weap_sierrax_fire_npc_dist_atmo,weapons\sierrax\weap_sierrax_fire_npc_dist_06.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_01.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_02.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_03.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_04.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_dist1_05.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_dist1_01.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_dist1_02.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_dist1_03.LN.75.44100.all,
weap_sierrax_fire_npc_dist_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_dist1_04.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_01.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_02.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_03.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_04.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_05.LN.75.44100.all,
weap_sierrax_fire_npc_far,weap_sierrax_fire_npc_far_atmo,weapons\sierrax\weap_sierrax_fire_npc_far_06.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_01.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_02.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_03.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_04.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_05.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\exterior\ar\weap_ar_fire_npc_atmo_ext_far1_06.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_far1_01.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_far1_02.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_far1_03.LN.75.44100.all,
weap_sierrax_fire_npc_far_atmo,,weapons\atmo_npc\interior\lmg\weap_lmg_fire_npc_atmo_int_far1_04.LN.75.44100.all,
weap_sierrax_fire_npc_lfe,,weapons\sierrax\weap_sierrax_fire_plr_lfe.LN.100.44100.all,
weap_sierrax_fire_npc_mech,weap_sierrax_fire_npc_lfe,weapons\sierrax\weap_sierrax_fire_npc_mech_01.LN.85.44100.all,
weap_sierrax_fire_npc_mech,weap_sierrax_fire_npc_lfe,weapons\sierrax\weap_sierrax_fire_npc_mech_02.LN.75.44100.all,
weap_sierrax_fire_npc_mech,weap_sierrax_fire_npc_lfe,weapons\sierrax\weap_sierrax_fire_npc_mech_03.LN.75.44100.all,
weap_sierrax_fire_npc_mech,weap_sierrax_fire_npc_lfe,weapons\sierrax\weap_sierrax_fire_npc_mech_04.LN.75.44100.all,
