Name,Secondary,FileSpec,
mount_enter_side_charlie725_vestlight_plr,,foley\mount\mount_enter_side_charlie725_vestlight_plr.LN.75.44100.all,
mount_enter_top_charlie725_vestlight_plr,,foley\mount\mount_enter_top_charlie725_vestlight_plr.LN.75.44100.all,
mount_exit_side_charlie725_vestlight_plr,,foley\mount\mount_exit_side_charlie725_vestlight_plr.LN.75.44100.all,
mount_exit_top_charlie725_vestlight_plr,,foley\mount\mount_exit_top_charlie725_vestlight_plr.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_01.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_02.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_03.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_04.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_05.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_06.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_04.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_05.LN.75.44100.all,
weap_charlie725_dryfire_plr,,weapons\charlie725\weap_charlie725_deadtrigger_plr_ads_06.LN.75.44100.all,
weap_charlie725_dryfirst_plr,,weapons\weap_dryfire_smg.LN.75.44100.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_01.LN.85.48000.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_02.LN.85.48000.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_03.LN.85.48000.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_04.LN.85.48000.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_05.LN.85.48000.all,
weap_charlie725_fire_bang_plr,weap_charlie725_fire_plr_mech,weapons\romeo870\weap_romeo870_fire_plr_06.LN.85.48000.all,
weap_charlie725_fire_plr,weap_charlie725_fire_bang_plr,weapons\charlie725\weap_charlie725_fire_first_plr_01.LN.85.44100.all,
weap_charlie725_fire_plr,weap_charlie725_fire_bang_plr,weapons\charlie725\weap_charlie725_fire_first_plr_02.LN.85.44100.all,
