Name,Secondary,FileSpec,
weap_oscar12_dryfire_npc,,weapons\weap_dryfire_smg.LN.75.36000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_01.LN.85.48000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_02.LN.85.48000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_03.LN.85.48000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_04.LN.85.48000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_05.LN.85.48000.all,
weap_oscar12_fire_npc,weap_oscar12_fire_npc_mech,weapons\oscar12\weap_oscar12_fire_npc_06.LN.85.48000.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_01.LN.75.44100.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_02.LN.75.44100.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_03.LN.75.44100.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_04.LN.75.44100.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_05.LN.75.44100.all,
weap_oscar12_fire_npc_dist,weap_oscar12_fire_npc_dist_atmo,weapons\oscar12\weap_oscar12_fire_npc_dist_06.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_01.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_02.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_03.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_04.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_05.LN.75.44100.all,
weap_oscar12_fire_npc_far,weap_oscar12_fire_npc_far_atmo,weapons\oscar12\weap_oscar12_fire_npc_far_06.LN.75.44100.all,
weap_oscar12_fire_npc_lfe,,weapons\iw8_dpapa12\iw8_weap_dpapa12_fire_plr_lfe_01.LN.100.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_01.LN.85.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_02.LN.85.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_03.LN.85.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_04.LN.85.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_05.LN.85.48000.all,
weap_oscar12_fire_npc_mech,weap_oscar12_fire_npc_lfe,weapons\oscar12\weap_oscar12_fire_npc_mech_06.LN.85.48000.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_01.LN.75.44100.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_02.LN.75.44100.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_03.LN.75.44100.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_04.LN.75.44100.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_05.LN.75.44100.all,
weap_oscar12_fire_npc_med,weap_oscar12_fire_npc_med_atmo,weapons\oscar12\weap_oscar12_fire_npc_med_06.LN.75.44100.all,
weap_oscar12_sup_npc,weap_oscar12_sup_npc_mech,weapons\oscar12\weap_oscar12_sup_npc_01.LN.85.48000.all,
weap_oscar12_sup_npc,weap_oscar12_sup_npc_mech,weapons\oscar12\weap_oscar12_sup_npc_02.LN.85.48000.all,
weap_oscar12_sup_npc,weap_oscar12_sup_npc_mech,weapons\oscar12\weap_oscar12_sup_npc_03.LN.85.48000.all,
weap_oscar12_sup_npc,weap_oscar12_sup_npc_mech,weapons\oscar12\weap_oscar12_sup_npc_04.LN.85.48000.all,
weap_oscar12_sup_npc,weap_oscar12_sup_npc_mech,weapons\oscar12\weap_oscar12_sup_npc_05.LN.85.48000.all,
