Name,Secondary,FileSpec,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_01.LN.85.48000.all,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_02.LN.85.48000.all,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_03.LN.85.48000.all,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_04.LN.85.48000.all,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_05.LN.85.48000.all,
weap_augolf_cal_npc,weap_augolf_cal_npc_mech,weapons\augolf\weap_augolf_fire_npc_06.LN.85.48000.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_01.LN.75.44100.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_02.LN.75.44100.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_03.LN.75.44100.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_04.LN.75.44100.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_05.LN.75.44100.all,
weap_augolf_cal_npc_dist,weap_augolf_cal_npc_dist_atmo,weapons\augolf\weap_augolf_fire_npc_dist_06.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_01.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_02.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_03.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_04.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_05.LN.75.44100.all,
weap_augolf_cal_npc_far,weap_augolf_cal_npc_far_atmo,weapons\augolf\weap_augolf_fire_npc_far_06.LN.75.44100.all,
weap_augolf_cal_npc_lfe,,weapons\iw8_mike4\weap_mike4_sup_plr_lfe_01.LN.100.48000.all,
