Name,Secondary,FileSpec,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_01.LN.85.48000.all,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_02.LN.85.48000.all,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_03.LN.85.48000.all,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_04.LN.85.48000.all,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_05.LN.85.48000.all,
weap_mpapa5_cal_npc,weap_mpapa5_cal_npc_mech,weapons\iw8_mike1911\weap_38super_npc_fire_cls_06.LN.85.48000.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_01.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_02.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_03.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_04.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_05.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_cls1_06.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_01.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_02.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_03.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_04.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_05.LN.85.44100.all,
weap_mpapa5_cal_npc_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_cls1_06.LN.85.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_01.LN.75.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_02.LN.75.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_03.LN.75.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_04.LN.75.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_05.LN.75.44100.all,
weap_mpapa5_cal_npc_dist,weap_mpapa5_cal_npc_dist_atmo,weapons\iw8_mpapa5\weap_mpapa5_fire_npc_dist_06.LN.75.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_01.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_02.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_03.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_04.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_05.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\exterior\smg\weap_smg_fire_npc_atmo_ext_dist1_06.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_01.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_02.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_03.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_04.LN.85.44100.all,
weap_mpapa5_cal_npc_dist_atmo,,weapons\atmo_npc\interior\smg\weap_smg_fire_npc_atmo_int_dist1_05.LN.85.44100.all,
