Name,Secondary,FileSpec,
mount_enter_side_alpha50_vestlight_plr,,foley\mount\mount_enter_side_alpha50_vestlight_plr.LN.75.44100.all,
mount_enter_top_alpha50_vestlight_plr,,foley\mount\mount_enter_top_alpha50_vestlight_plr.LN.75.44100.all,
mount_exit_side_alpha50_vestlight_plr,,foley\mount\mount_exit_side_alpha50_vestlight_plr.LN.75.44100.all,
mount_exit_top_alpha50_vestlight_plr,,foley\mount\mount_exit_top_alpha50_vestlight_plr.LN.75.44100.all,
weap_alpha50_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all,
weap_alpha50_dryfirst_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_01.LN.85.48000.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_02.LN.85.48000.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_03.LN.85.48000.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_04.LN.85.48000.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_05.LN.85.48000.all,
weap_alpha50_fire_bang_plr,weap_alpha50_fire_plr_mech,weapons\iw8_alpha50\weap_alpha50_fire_plr_06.LN.85.48000.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_01.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_02.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_03.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_04.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_05.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_06.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_01.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_02.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_03.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_04.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_05.LN.85.44100.all,
weap_alpha50_fire_plr,weap_alpha50_fire_bang_plr,weapons\iw8_alpha50\weap_alpha50_fire_plr_mech_ads_06.LN.85.44100.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_01.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_02.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_03.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_04.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_alpha50_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int1_06.LN.85.48000.all,
