Name,Secondary,FileSpec,
mount_enter_side_kilo98_vestlight_plr,,foley\mount\mount_enter_side_kilo98_vestlight_plr.LN.75.44100.all,
mount_enter_top_kilo98_vestlight_plr,,foley\mount\mount_enter_top_kilo98_vestlight_plr.LN.75.44100.all,
mount_exit_side_kilo98_vestlight_plr,,foley\mount\mount_exit_side_kilo98_vestlight_plr.LN.75.44100.all,
mount_exit_top_kilo98_vestlight_plr,,foley\mount\mount_exit_top_kilo98_vestlight_plr.LN.75.44100.all,
weap_kilo98_dryfire_plr,,weapons\weap_dryfire_rifle.LN.75.44100.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_01.HN.85.48000.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_02.HN.85.48000.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_03.HN.85.48000.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_04.HN.85.48000.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_05.HN.85.48000.all,
weap_kilo98_fire_bang_plr,weap_kilo98_fire_plr_mech,weapons\iw8_kilo98\weap_kilo98_fire_plr_06.HN.85.48000.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_01.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_02.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_03.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_04.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_05.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_06.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_01.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_02.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_03.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_04.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_05.LN.85.44100.all,
weap_kilo98_fire_plr,weap_kilo98_fire_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_ads_06.LN.85.44100.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\exterior\dmr\weap_dmr_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_01.LN.85.44100.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_02.LN.85.44100.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_03.LN.85.44100.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_04.LN.85.44100.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_05.LN.85.48000.all,
weap_kilo98_fire_plr_atmo,,weapons\atmo\interior\lmg\weap_lmg_fire_plr_atmo_int1_06.LN.85.48000.all,
weap_kilo98_fire_plr_lfe,,weapons\iw8_kilo98\weap_kilo98_fire_plr_lfe.HN.100.44100.all,
weap_kilo98_fire_plr_lfe,,weapons\iw8_kilo98\weap_kilo98_fire_plr_lfe.HN.100.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_01.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_02.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_03.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_04.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_05.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_06.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_01.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_02.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_03.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_04.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_05.HN.85.44100.all,
weap_kilo98_fire_plr_mech,weap_kilo98_fire_plr_lfe,weapons\iw8_kilo98\weap_kilo98_fire_plr_swtn_ads_06.HN.85.44100.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_01.HN.85.48000.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_02.HN.85.48000.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_03.HN.85.48000.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_04.HN.85.48000.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_05.HN.85.48000.all,
weap_kilo98_sup_bang_plr,weap_kilo98_sup_plr_mech,weapons\iw8_kilo98\weap_kilo98_sup_bang_plr_06.HN.85.48000.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_01.LN.85.44100.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_02.LN.85.44100.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_03.LN.85.44100.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_04.LN.85.44100.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_05.LN.85.44100.all,
weap_kilo98_sup_plr,weap_kilo98_sup_bang_plr,weapons\iw8_kilo98\weap_kilo98_fire_plr_mech_06.LN.85.44100.all,
