Name,Secondary,FileSpec,
mount_enter_side_xmike109_vestlight_plr,,foley\mount\mount_enter_side_alpha50_vestlight_plr.LN.75.44100.all,
mount_enter_top_xmike109_vestlight_plr,,foley\mount\mount_enter_top_delta_vestlight_plr.LN.75.44100.all,
mount_exit_side_xmike109_vestlight_plr,,foley\mount\mount_exit_side_delta_vestlight_plr.LN.75.44100.all,
mount_exit_top_xmike109_vestlight_plr,,foley\mount\mount_enter_side_delta_vestlight_plr.LN.75.44100.all,
weap_sn_xmike109_ads_down,,reloads\iw8_delta\weap_sn_delta_ads_down.LN.75.44100.all,
weap_sn_xmike109_ads_up,,reloads\iw8_delta\weap_sn_delta_ads_up.LN.75.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_01.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_02.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_03.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_04.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_05.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_06.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_01.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_02.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_03.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_04.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_05.LN.85.44100.all,
weap_xmike109_disconnector_plr,,weapons\xm109\weap_xmike109_disconnector_plr_ads_06.LN.85.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_01.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_02.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_03.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_04.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_05.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_06.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_ads_01.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_ads_02.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_ads_03.LN.75.44100.all,
weap_xmike109_dryfire_plr,,weapons\delta\weap_delta_deadtrigger_plr_ads_04.LN.75.44100.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_01.HN.85.48000.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_02.HN.85.48000.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_03.HN.85.48000.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_04.HN.85.48000.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_05.HN.85.48000.all,
weap_xmike109_fire_bang_plr,weap_xmike109_fire_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_06.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_01.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_02.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_03.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_04.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_05.HN.85.48000.all,
weap_xmike109_fire_last_bang_plr,weap_xmike109_fire_last_plr_mech,weapons\xm109\weap_xmike109_fire_bang_plr_06.HN.85.48000.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_01.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_02.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_03.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_04.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_05.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_06.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_01.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_02.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_03.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_04.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_05.LN.85.44100.all,
weap_xmike109_fire_last_plr,weap_xmike109_fire_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_06.LN.85.44100.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_01.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_02.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_03.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_04.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_05.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_06.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_01.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_02.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_03.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_04.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_05.HN.85.48000.all,
weap_xmike109_fire_last_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_06.HN.85.48000.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_01.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_02.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_03.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_04.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_05.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_06.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_01.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_02.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_03.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_04.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_05.LN.85.44100.all,
weap_xmike109_fire_plr,weap_xmike109_fire_bang_plr,weapons\delta\weap_delta_fire_first_plr_ads_06.LN.85.44100.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_01.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_02.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_03.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_04.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_05.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\exterior\sniper\weap_sniper3_fire_plr_atmo_ext1_06.LN.85.48000.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int2_01.LN.85.44100.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int2_02.LN.85.44100.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int2_03.LN.85.44100.all,
weap_xmike109_fire_plr_atmo,,weapons\atmo\interior\sniper\weap_sniper_fire_plr_atmo_int2_04.LN.85.44100.all,
weap_xmike109_fire_plr_lfe,,weapons\bradley_25mm\weap_bradley_25mm_fire_plr_lfe.HN.100.44100.all,
weap_xmike109_fire_plr_lfe,,weapons\bradley_25mm\weap_bradley_25mm_fire_plr_lfe.HN.100.44100.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_01.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_02.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_03.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_04.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_05.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_06.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_01.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_02.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_03.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_04.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_05.HN.85.48000.all,
weap_xmike109_fire_plr_mech,weap_xmike109_fire_plr_lfe,weapons\xm109\weap_xmike109_fire_plr_mech_ads_06.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_01.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_02.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_03.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_04.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_05.HN.85.48000.all,
weap_xmike109_sup_bang_plr,weap_xmike109_sup_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_06.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_01.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_02.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_03.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_04.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_05.HN.85.48000.all,
weap_xmike109_sup_last_bang_plr,weap_xmike109_sup_last_plr_mech,weapons\xm109\weap_xmike109_sup_bang_plr_06.HN.85.48000.all,
weap_xmike109_sup_last_plr,weap_xmike109_sup_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_01.LN.85.44100.all,
weap_xmike109_sup_last_plr,weap_xmike109_sup_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_02.LN.85.44100.all,
weap_xmike109_sup_last_plr,weap_xmike109_sup_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_03.LN.85.44100.all,
weap_xmike109_sup_last_plr,weap_xmike109_sup_last_bang_plr,weapons\delta\weap_delta_fire_first_plr_04.LN.85.44100.all,
