DefaultSequence,Icon,0,128,-65,65,1,,
DefaultSequence,Laser,-64,64,-64,64,1,,
DefaultSequence,Muzzle,-64,64,-64,64,1,,
DefaultSequence,UnderBarrel,20,150,15,142,1,,
barrelShortMike4,Icon,-129,127,-73,55,1,icon_dyn_attachment_ar_mike4_shortbarrel,
barrelShortMike4,Laser,-63,65,-142,-14,1,,
barrelShortMike4,Muzzle,-178,-50,-64,64,1,,
barrelShortMike4,UnderBarrel,-51,79,12,139,1,,
barmidMike4,Icon,-147,109,-74,54,1,icon_dyn_attachment_ar_mike4_barrel_v3,
barmidMike4,Laser,-70,58,-142,-14,1,,
barmidMike4,Muzzle,-211,-83,-64,64,1,,
barmidMike4,UnderBarrel,-56,74,13,140,1,,
barrelDefault,Icon,-60,68,-37,27,1,ui_default_white,
barrelDefault,Muzzle,-186,-58,-64,64,1,,
barrelDefault,UnderBarrel,-32,98,10,137,1,,
barrelLongAkilo47,Icon,-322,190,-129,127,1,icon_dyn_attachment_lmgbarrel_akilo47,
barrelLongAkilo47,Laser,-95,33,-128,0,1,,
barrelLongAkilo47,Muzzle,-331,-203,-67,61,1,,
barrelLongAkilo47,UnderBarrel,-42,88,12,139,1,,
barrelShortAkilo47,Icon,-58,70,-37,27,1,icon_dyn_attachment_smgbarrel_akilo47,
barrelShortAkilo47,Laser,-37,91,-150,-22,1,,
barrelShortAkilo47,Muzzle,-180,-52,-64,64,1,,
barrelShortAkilo47,UnderBarrel,-38,92,14,141,1,,
piCpapa,Icon,12,76,-17,15,1,icon_dyn_attachment_pi_cpapa_barrel,
piCpapa,Laser,-25,103,-120,8,1,,
piCpapa,Muzzle,-113,15,-64,64,1,,
piCpapa,UnderBarrel,-17,113,8,135,1,,
piCpapaLong,Icon,-32,96,-32,32,1,icon_dyn_attachment_pi_cpapa_barrel_long,
piCpapaLong,Laser,-58,70,-118,10,1,,
piCpapaLong,Muzzle,-135,-7,-63,65,1,,
piCpapaLong,UnderBarrel,-16,114,9,136,1,,
piDecho,Icon,-11,117,-34,30,1,icon_dyn_attachment_pi_decho_slide,
piDecho,Laser,-19,109,-114,14,1,,
piDecho,Muzzle,-134,-6,-66,62,1,,
piDecho,UnderBarrel,-34,96,20,147,1,,
piGolf21,Icon,-46,82,-37,27,1,icon_dyn_attachment_pi_golf21_slide,
piGolf21,Laser,-75,53,-123,5,1,,
piGolf21,Muzzle,-156,-28,-69,59,1,,
piGolf21,UnderBarrel,,,14,141,1,,
piMike1911,Icon,-39,89,-37,27,1,icon_dyn_attachment_pi_mike1911_v1_slide,
piMike1911,Laser,-60,68,-120,8,1,,
piMike1911,Muzzle,-149,-21,-69,59,1,,
piMike1911,UnderBarrel,-45,85,,,1,,
piPapa320,Icon,-42,86,-35,29,1,icon_dyn_attachment_pi_papa320_slide,
piPapa320,Laser,-67,61,-118,10,1,,
piPapa320,Muzzle,-148,-20,-67,61,1,,
piPapa320,UnderBarrel,-49,81,9,136,1,,
smAugolf,Icon,-47,209,-64,66,1,icon_dyn_attachment_sm_augolf_smgbarrel,
smAugolf,Laser,-24,104,-129,-1,1,,
smAugolf,Muzzle,-100,28,-67,61,1,,
smAugolf,UnderBarrel,-8,122,23,150,1,,
smBeta,Icon,36,68,-16,16,1,icon_dyn_attachment_sm_beta_barrel,
smBeta,Laser,24,152,-125,3,1,,
smBeta,Muzzle,-68,60,-64,64,1,,
smBeta,UnderBarrel,23,153,6,133,1,,
smMpapa5,Icon,-54,74,-37,27,1,icon_dyn_attachment_sm_mpapa5_handguardrail,
smMpapa5,Laser,-6,122,-144,-16,1,,
smMpapa5,Muzzle,-164,-36,-64,64,1,,
smMpapa5,UnderBarrel,-49,81,9,136,1,,
smMpapa7,Icon,26,154,-32,32,1,icon_dyn_attachment_sm_mpapa7_barrel,
smMpapa7,Laser,26,154,-140,-12,1,,
smMpapa7,Muzzle,-69,59,-64,64,1,,
smMpapa7,UnderBarrel,26,156,12,139,1,,
smPapa90,Icon,-16,240,-65,63,1,icon_dyn_attachment_sm_papa90_barrel,
smPapa90,Laser,25,153,-157,-29,1,,
smPapa90,Muzzle,-67,61,-64,64,1,,
smPapa90,UnderBarrel,19,149,5,132,1,,
smUzulu,Icon,8,72,-16,16,1,icon_dyn_attachment_sm_uzulu_barrel,
smUzulu,Laser,36,164,-125,3,1,,
smUzulu,Muzzle,-104,24,-64,64,1,,
smUzulu,UnderBarrel,29,159,17,144,1,,
arAkilo47,Icon,-162,94,-71,57,1,icon_dyn_attachment_barrel_akilo47,
arAkilo47,Laser,-96,32,-129,-1,1,,
arAkilo47,Muzzle,-258,-130,-67,61,1,,
arAkilo47,UnderBarrel,-42,88,10,137,1,,
arMike4,Icon,-147,109,-74,54,1,icon_dyn_attachment_ar_mike4_barrel,
arMike4,Laser,-62,66,-142,-14,1,,
arMike4,Muzzle,-209,-81,-64,64,1,,
arMike4,UnderBarrel,-57,73,14,141,1,,
arAsierra12,Icon,8,264,-64,64,1,icon_dyn_attachment_ar_asierra12_barrel,
arAsierra12,Laser,54,182,-146,-18,1,,
arAsierra12,Muzzle,-86,42,-64,64,1,,
arAsierra12,UnderBarrel,34,164,27,154,1,,
arFalima,Icon,-54,74,-33,31,1,icon_dyn_attachment_ar_falima_barrel,
arFalima,Laser,49,177,-135,-7,1,,
arFalima,Muzzle,-109,19,-64,64,1,,
arFalima,UnderBarrel,98,228,14,141,1,,
arFalpha,Icon,-71,185,-68,60,1,icon_dyn_attachment_ar_falpha_barrel,
arFalpha,Laser,-25,103,-124,4,1,,
arFalpha,Muzzle,-120,8,-63,65,1,,
arFalpha,UnderBarrel,43,173,23,150,1,,
arKilo433,Icon,-112,144,-60,68,1,icon_dyn_attachment_ar_kilo433_barrel,
arKilo433,Laser,-15,113,-142,-14,1,,
arKilo433,Muzzle,-164,-36,-60,68,1,,
arKilo433,UnderBarrel,-28,102,18,145,1,,
arMcharlie,Icon,-129,127,-66,62,1,icon_dyn_attachment_ar_mcharlie_barrel,
arMcharlie,Laser,-82,46,-137,-9,1,,
arMcharlie,Muzzle,-198,-70,-57,71,1,,
arMcharlie,UnderBarrel,-101,29,27,154,1,,
arScharlie,Icon,-353,159,-145,111,1,icon_dyn_attachment_ar_scharlie_barrel,
arScharlie,Laser,-190,-62,-148,-20,1,,
arScharlie,Muzzle,-353,-225,-63,65,1,,
arScharlie,UnderBarrel,-166,-36,14,141,1,,
shCharlie725,Icon,-366,146,-119,137,1,icon_dyn_attachment_sh_charlie725_barrel,
shCharlie725,Laser,-151,-23,-103,25,1,,
shCharlie725,Muzzle,-412,-284,-64,64,1,,
shCharlie725,UnderBarrel,-105,25,32,159,1,,
shDpapa12,Icon,46,78,-16,16,1,icon_dyn_attachment_sh_dpapa12_barrel,
shDpapa12,Laser,44,172,-141,-13,1,,
shDpapa12,Muzzle,-70,58,-64,64,1,,
shDpapa12,UnderBarrel,52,182,31,158,1,,
shOscar12,Icon,-60,68,-36,28,1,icon_dyn_attachment_sh_oscar12_barrel,
shOscar12,Laser,-39,89,-159,-31,1,,
shOscar12,Muzzle,-179,-51,-68,60,1,,
shOscar12,UnderBarrel,-66,64,10,138,1,,
shRomeo870,Icon,-190,66,-75,53,1,icon_dyn_attachment_sh_romeo870_barrel,
shRomeo870,Laser,-225,-97,-120,8,1,,
shRomeo870,Muzzle,-316,-188,-75,53,1,,
shRomeo870,UnderBarrel,-163,-33,16,144,1,,
lmKilo121,Icon,-45,83,-32,32,1,icon_dyn_attachment_lm_kilo121_barrel,
lmKilo121,Laser,-9,119,-123,5,1,,
lmKilo121,Muzzle,-149,-21,-64,64,1,,
lmKilo121,UnderBarrel,124,254,31,158,1,,
lmLima86,Icon,-336,176,-128,128,1,icon_dyn_attachment_lm_lima86_barrel,
lmLima86,Laser,-155,-27,-115,13,1,,
lmLima86,Muzzle,-356,-228,-64,64,1,,
lmLima86,UnderBarrel,-120,10,26,153,1,,
lmMgolf34,Icon,-297,215,-134,122,1,icon_dyn_attachment_lm_mgolf34_barrel,
lmMgolf34,Laser,-137,-9,-119,9,1,,
lmMgolf34,Muzzle,-315,-187,-58,70,1,,
lmMgolf34,UnderBarrel,-14,116,23,150,1,,
barrelLongKilo433,Icon,-133,123,-62,66,1,icon_dyn_attachment_ar_kilo433_long_barrel,
barrelLongKilo433,Laser,-16,112,-142,-14,1,,
barrelLongKilo433,Muzzle,-206,-78,-60,68,1,,
barrelLongKilo433,UnderBarrel,-28,102,19,146,1,,
barrelShortRomeo870,Icon,-172,84,-71,57,1,icon_dyn_attachment_sh_romeo870_barrel_sawn,
barrelShortRomeo870,Laser,-218,-90,-120,8,1,,
barrelShortRomeo870,Muzzle,-279,-151,-75,53,1,,
barrelShortRomeo870,UnderBarrel,-160,-30,17,145,1,,
snAlpha50,Icon,-329,183,-130,126,1,icon_dyn_attachment_sn_alpha50_barrel,
snAlpha50,Laser,-135,-7,-144,-16,1,,
snAlpha50,Muzzle,-346,-218,-66,62,1,,
