barheavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_akilo47,icon_dyn_attachment_custombarrel_akilo47,icon_dyn_attachment_custombarrel_akilo47_v4,icon_dyn_attachment_custombarrel_akilo47_v5,icon_dyn_attachment_custombarrel_akilo47_v11,icon_dyn_attachment_custombarrel_akilo47_v13,icon_dyn_attachment_custombarrel_akilo47_v18,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_asierra12,icon_dyn_attachment_ar_asierra12_barlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_beta,icon_dyn_attachment_sm_beta_barrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_cpapa,icon_dyn_attachment_pi_cpapa_barrel_v2,icon_dyn_attachment_pi_cpapa_barrel_v6,,icon_dyn_attachment_pi_cpapa_barrel_v8,,icon_dyn_attachment_pi_cpapa_barrel_v8,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_falpha,icon_dyn_attachment_ar_falpha_barlong2,icon_dyn_attachment_ar_falpha_barrellong_v5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_mike4,icon_dyn_attachment_ar_mike4_custombarrel,icon_dyn_attachment_ar_mike4_barrel_v5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_papa90,icon_dyn_attachment_sm_papa90_custombarrel,icon_dyn_attachment_sm_papa90_custombarrel_v2,icon_dyn_attachment_sm_papa90_custombarrel_v8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_uzulu,icon_dyn_attachment_sm_uzulu_barshort,,icon_dyn_attachment_sm_uzulu_barshort_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust2_mike4,icon_dyn_attachment_ar_mike4_mike203barrel,,icon_dyn_attachment_ar_mike4_mike203barrel_v16,icon_dyn_attachment_ar_mike4_mike203barrel_v18,,icon_dyn_attachment_ar_mike4_mike203barrel_v28,icon_dyn_attachment_ar_mike4_mike203barrel_v35,,,,,,,,,,,,,,,,,,,,,,,,,,
barheavy_shtgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_romeo870,icon_dyn_attachment_sh_romeo870_heatguard,icon_dyn_attachment_sh_romeo870_heatguard_v3,,,icon_dyn_attachment_sh_romeo870_heatguard_v8,,icon_dyn_attachment_sh_romeo870_heatguard_v16,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_oscar12,icon_dyn_attachment_sh_oscar12_barrelmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barheavy_silenced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust2_mpapa5,icon_dyn_attachment_sm_mpapa5_barrel_suppressor_v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barsil_kilo433,icon_dyn_attachment_ar_kilo433_barsil,icon_dyn_attachment_ar_kilo433_barrel_v2,icon_dyn_attachment_ar_kilo433_barrel_v13,icon_dyn_attachment_ar_kilo433_barsil_v14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_mgolf34,icon_dyn_attachment_lm_mgolf34_barmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ventslide_papa320,icon_dyn_attachment_pi_papa320_slide_vented,icon_dyn_attachment_pi_papa320_slide_vented_v6,,icon_dyn_attachment_pi_papa320_slide_vented_v17,icon_dyn_attachment_pi_papa320_slide_vented_v16,,icon_dyn_attachment_pi_papa320_slide_vented_v21,,,,,,,,,,,,,,,,,,,,,,,,,,
barlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barar_augolf,icon_dyn_attachment_sm_augolf_arbarrel,,,icon_dyn_attachment_sm_augolf_barrel_v2,,,icon_dyn_attachment_sm_augolf_barrel_v23,,,,,,,,,,,,,,,,,,,,,,,,,,
barlight_shtgn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barcust_charlie725,icon_dyn_attachment_sh_charlie725_barrel_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_dpapa12,icon_dyn_attachment_sh_dpapa12_barmid,icon_dyn_attachment_sh_dpapa12_barmid_v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barlight_silenced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barsil_mcharlie,icon_dyn_attachment_ar_mcharlie_suppressorbarrel,,,,icon_dyn_attachment_ar_mcharlie_suppressorbarrel_v20,icon_dyn_attachment_ar_mcharlie_suppressorbarrel_v21,,,,,,,,,,,,,,,,,,,,,,,,,,,
barsil_mpapa5,icon_dyn_attachment_sm_mpapa5_barrel_suppressor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barlong_mgolf34,icon_dyn_attachment_lm_mgolf34_barlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_alpha50,icon_dyn_attachment_sn_alpha50_barmid,icon_dyn_attachment_sn_alpha50_barrel_v2,,icon_dyn_attachment_sn_alpha50_barrel_v17,,,,,,,,,,,,,,,,,,,,,,,,,,,,icon_dyn_attachment_sn_alpha50_barrel_v2,
barmid_augolf,icon_dyn_attachment_sm_augolf_arbarrel02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_beta,icon_dyn_attachment_sm_beta_barmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_delta,icon_dyn_attachment_sn_delta_barmid,icon_dyn_attachment_sn_delta_barmid_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_falima,icon_dyn_attachment_ar_falima_barlong2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_hdromeo,icon_dyn_attachment_sn_hdromeo_barrel_mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_kilo121,icon_dyn_attachment_lm_kilo121_barrel_mid,icon_dyn_attachment_lm_kilo121_barrel_v4,icon_dyn_attachment_lm_kilo121_barrel_v4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barmid_kilo98,icon_dyn_attachment_sn_kilo98_barmid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
